BOR;AN;FI;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A37;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42
PSY2;2013;130000235;130780554;10441;114;18;0;19;401;58;33;8;0;34;436;47;57139;6501;2013;0;694;19947;2063;26242;592;63;0;6;1575;26;176955;2905;215;0;60;5388;176;;;;0;;;;0;;0;
PSY2;2013;130000433;130781131;1486;79;5;2;43;459;156;104;7;2;52;596;179;74388;5133;985;8;976;18684;4475;25212;569;66;;;1440;98;177533;519;124;2;84;1953;257;80.9;1;5.84;1;6.7;1;20.37;0;;0;
PSY2;2013;130002496;130786494;1221;48;5;2;13;193;85;64;5;2;16;236;93;34029;2794;707;20;127;6340;2287;29837;234;122;;;351;;95674;234;158;13;;1052;93;;1;1.61;1;7.51;1;10.45;0;;0;
PSY2;2013;130002827;130789274;452;9;1;;;49;10;9;1;;;49;;7061;561;290;;;2098;471;1884;;;;;37;;41451;258;4;;;502;2;11.1;0;;0;;0;;0;;0;
PSY2;2013;130780273;130000151;361;;;;;;;;;;;;;18250;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;130781065;130000417;598;;;;;;;;;;;;;27209;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0;;0;;0;
PSY2;2013;130781594;130010648;159;;;;;;;;;;;;;34474;;;;;;;;;;;;;;;;;;;;;1.25;0;;0;;0;;;;0;
PSY2;2013;130783236;130786049;7268;85;;;;311;;;;;;311;;26244;85;;;;8251;;13207;3011;;;;249;;33430;116;;;;;;;;;;;;;;;;
PSY2;2013;130783764;750043994;1276;;;;;;;;;;;;;93642;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0;;0;;0;
PSY2;2013;130784234;130786049;8451;47;;;;182;;85;;;;311;;30142;3079;;;;5663;;16497;2;;;;7;;43736;;;;;;;;0;;0;;1;;0;;1;43
PSY2;2013;130784291;130001696;549;;;;;;;;;;;;;32148;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;0;;0;
PSY2;2013;130784606;130001860;1324;;;;;;;;;;;;;70552;;;;;;;3662;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;130784697;130001902;214;;;;;;;;;;;;;35970;;;;;;;4112;;;;;;;;;;;;;;1.95;0;;0;;0;;0;;0;
PSY2;2013;130786015;130002322;248;;;;;;;;;;;;;27754;;;;;;;;;;;;;;;;;;;;;3.51;0;;0;;0;;0;;0;
PSY2;2013;130786742;750821092;1544;2;0;0;0;0;0;0;0;0;0;0;0;4881;2;0;0;0;0;0;0;0;0;0;0;0;0;4326;0;0;0;0;0;0;4;1;3.07;0;;0;;0;;0;
PSY2;2013;130786890;130001688;111;;;;;;;;;;;;;4189;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;130786973;130002702;255;;;;;;;;;;;;;27413;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;130790157;130789316;5275;56;;;2;238;18;;;;;;;13389;1575;;;34;8562;179;13436;545;;;;1060;;66074;1138;;;;2357;;37;1;5.4;0;;1;1.1;0;;0;
PSY2;2013;130798002;130004807;921;;;;;;;;;;;;;70203;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;130804032;;51;;;;;;;;;;;;;4690;;;;;;;;;;;;;;;;;;;;;1.4;0;;0;;0;;0;;0;
PSY2;2013;130806011;130001183;364;0;0;0;0;0;0;;;;;;;24061;;;;;;;;;;;;;;;;;;;;;0.07;0;;0;;0;;0;;0;
PSY2;2013;140000209;140000100;621;30;3;;;91;15;30;3;;;91;15;;;;;;;;;;;;;;;;;;;;;;;1;;0;;1;;1;;0;
PSY2;2013;140000233;140000118;33;;;;;;;;;;;;;0;;;;;;;2069;;;;;;;379;;;;;;;;;;;;;;;;;
PSY2;2013;140000324;140026279;36;;;;;;;;;;;;;2853;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;140000373;140000159;2133;13;;;;54;5;;;;;;;8162;747;;;;818;;4079;0;;;;262;;17286;39;;;;95;17;;1;;;;1;;;;;
PSY2;2013;140000456;140000316;12089;176;11;;77;286;87;180;11;;108;299;97;74939;17930;819;0;534;9534;1480;22566;3006;3;0;159;486;10;99803;3144;102;0;97;1593;108;;1;11.74;1;;1;17.7;0;;1;
PSY2;2013;140004136;140000092;2291;26;;;;61;;13;;;;54;;7620;926;;;;1087;;2359;;;;;;;18078;282;;;;93;;10.6;1;0.3;0;;0;;0;;0;
PSY2;2013;140016106;140000035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;0;;0;;0;;0;
PSY2;2013;150000040;150780096;4473;25;;6;3;184;52;;;;;;;24476;1113;;47;;6813;3398;11898;87;;24;;2245;677;46375;596;;7;3;1498;78;;1;;1;;1;;0;;0;
PSY2;2013;150780773;150780088;829;8;;;;28;;4;;;;36;;5082;501;;;;1756;;457;278;;;;521;;5237;71;;;;351;;2;1;0.01;0;;0;;0;;0;
PSY2;2013;150780823;150780096;114;1;;;;;;;;;;;;1237;;;;;;;17547;51;;;;;;;;;;;;;;;;;;;;;;;
PSY2;2013;150782944;150002566;58;;;;;;;;;;;;;8699;;;;;;;;;;;;;;;;;;;;;0.4;0;;0;;0;;0;;0;
PSY2;2013;160000345;160000501;960;114;5;0;8;245;130;115;5;0;8;261;145;54666;5785;874;0;35;8671;3652;;;;;;;;51306;868;16;0;0;953;464;27.39;1;1.21;1;0.6;1;37.4;0;;0;
PSY2;2013;160008231;160001038;560;;;;;;;;;;;;;13755;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;170000103;170780175;710;70;2;0;0;50;5;;;;;;;11240;1908;17;0;0;3061;206;4096;1;0;0;0;37;0;3938;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;170020994;170780175;3884;4;;;;4;1;;;;;;;;;;;;;;3733;;;;;;;37306;93;;;;246;2;5.5;;;0;;1;;0;;;
PSY2;2013;170780282;170000186;555;;;;;;;;;;;;;20466;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;170780290;170000194;530;;;;;;530;;;;;;;20142;;;;;;20142;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;170782981;170023279;2070;45;2;;17;323;26;;;;;;;74269;1929;988;;97;15274;1273;24098;345;;;;847;47;91077;518;513;;1059;3554;125;30.99;1;;1;5.04;1;29.53;0;;0;
PSY2;2013;170783146;170780050;1336;9;1;;;94;30;9;1;;;78;26;17839;1136;30;;;2293;1062;12021;554;;;;288;198;;;;;;;;12.6;1;;1;4.28;1;3.84;0;;0;
PSY2;2013;170784086;330785072;33;;;;;;;;;;;;;3805;;;;;;;;;;;;;;;;;;;;;0.45;0;;0;;1;22.69;0;;0;
PSY2;2013;180000176;180001158;2447;40;1;0;3;238;51;41;1;0;3;253;51;180244;3023;196;0;18;10668;1920;23138;360;0;0;;904;79;;;;;;;;;1;0.3;1;29.29;1;;0;;0;
PSY2;2013;180000382;180008518;414;0;0;0;0;0;0;0;0;0;0;0;0;10109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;
PSY2;2013;180004533;580780971;12;;;;;;;;;;;;;;;;;;;;1049;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;190000026;190000059;638;16;;;12;70;4;;;;;;;6876;195;;;14;1372;50;5976;;;;;48;;13528;35;;;;133;;3;0;;0;;0;;0;;0;
PSY2;2013;190000091;190000075;3300;;;;;;;;;;;;;6062;;;;;;;3035;;;;;;;7046;;;;;;;3;1;2;0;;0;;0;;0;
PSY2;2013;190000117;;260;43;3;1;25;40;26;48;3;1;31;40;26;33254;9483;841;365;2327;5108;2385;;;;;;;;;;;;;;;;0;;0;;0;;0;69.2;0;
PSY2;2013;190011601;190000042;1064;6;;;;98;15;6;;;;98;15;13241;;;;;;;6359;;;;;;;2644;;;;;;;14.9;1;;1;2.5;0;;0;;0;
PSY2;2013;210780425;210000139;65;;;;;;;;;;;;;;;;;;;;5678;;;;;;;1022;;;;;;;;0;;0;;0;;0;;0;27.3
PSY2;2013;210781621;210780581;281;5;;;;59;10;5;;;;66;10;12571;475;;;;1715;240;;;;;;;;;;;;;;;;1;1;1;1;0;;0;;0;
PSY2;2013;210987558;210780581;376;;;;;;;;;;;;;2916;;;;;;;;;;;;;;;;;;;;;;1;;0;;1;;0;;0;
PSY2;2013;210987632;210780607;11661;20;5;16;21;400;126;24;3;;25;401;136;85293;1590;408;302;236;7896;2403;22730;74;;10;;198;;136299;253;;;;31;6;;1;1;1;40.65;1;5.17;0;;1;11.83
PSY2;2013;210987699;210780706;380;13;;1;;57;1;;;;;;;5924;568;;49;;1455;32;;;;;;;;;;;;;;;5;0;;0;;0;;0;;0;
PSY2;2013;220000210;;1529;25;;;;245;;31;;;;306;;46990;1383;;;;4737;;14741;72;;;;58;;95008;185;;;;527;;;1;;0;;1;;0;;0;
PSY2;2013;220000236;220017974;841;90;6;;15;120;63;90;6;;15;134;69;35582;11643;766;;3356;7521;2354;90;;;;;;;4502;;;;;;;;0;;1;27.6;0;;1;88.96;0;
PSY2;2013;220000319;220000681;574;;;;;;;;;;;;;21727;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;220000327;220000699;779;;;;;;;;;;;;;30224;;;;;;;5297;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;220012751;220017974;2911;5;;;;15;3;5;;;;15;3;0;0;;;;0;0;10007;53;;;;581;0;30838;33;;;;65;28;;0;;0;;0;;0;;0;
PSY2;2013;230000853;230780074;4338;33;0;0;0;150;14;43;0;0;0;120;16;28922;4520;0;0;0;1540;1215;20361;679;0;0;0;2419;100;47198;794;;;;2361;;11;;;;;;;;;;
PSY2;2013;230780181;230000879;689;;;;;;;;;;;;;16368;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;240000463;240000083;9495;115;3;0;17;277;105;121;3;0;19;298;108;56243;5257;0;0;180;12463;2577;16675;852;0;0;0;499;15;96043;1363;143;0;0;1304;244;;1;1;0;;1;2.05;0;;0;
PSY2;2013;240000646;240000265;390;;;;;;;;;;;;;103315;;;;;;;1493;;;;;;;;;;;;;;;0;;1;;0;;0;;0;
PSY2;2013;240000687;240000448;198;15;;;;45;3;;;;;;;8619;1496;;;;1808;157;2159;28;;;;241;;8087;173;;;;401;9;;0;;0;;0;;0;;0;
PSY2;2013;240003392;240000117;621;23;;1;;81;20;37;;1;;102;26;22922;1098;;4;;2292;578;3280;;;;;;;;;;;;;;;1;;0;;1;2.07;1;25.42;0;
PSY2;2013;250000023;250000015;488;;;;;;;;;;;;;17469;;;;;;;;;;;;;;2805;;;;;;;;0;;0;;1;2;0;;0;
PSY2;2013;250000619;250000452;1085;13;2;0;0;52;6;14;2;0;0;54;6;10890;136;28;0;0;545;56;0;0;0;0;0;0;0;13978;204;33;0;0;1038;4;4.5;1;0.2;0;0;0;0;0;0;0;0
PSY2;2013;250000718;250000460;7427;67;3;;6;228;42;68;3;;7;242;47;66276;3025;305;;145;9239;1550;9068;51;;;;106;11;;;;;;;;26.5;1;5.82;1;4.07;1;20;0;;0;
PSY2;2013;250005196;250001013;16;;;;;;;;;;;;;;;;;;;;3510;;;;;;;;;;;;;;1.35;0;;0;;0;;0;;0;
PSY2;2013;250006954;250000015;1774;;;;;;;;;;;;;;;;;;;;;;;;;;;7574;;;;;;;17.1;1;;0;;1;1.79;0;;0;
PSY2;2013;250014008;700004096;2724;40;2;;3;181;81;42;2;;5;200;85;14228;2261;730;;132;5411;1190;4649;;;;;3;3;21413;220;;;;69;60;13.8;1;0.75;0;;1;35.01;1;41.24;0;
PSY2;2013;260000203;260016910;369;21;5;;;108;14;;;;;;;18846;2520;1113;;;4004;373;4289;68;;;;847;43;;;;;;;;6.65;1;0.4;0;;0;;0;;0;
PSY2;2013;260000302;260000161;377;;;;;;;;;;;;;14123;;;;;;;;;;;;;;1699;;;;;;;;0;;0;;0;;0;;;
PSY2;2013;260000823;260003264;807;22;7;16;6;310;232;88;10;17;6;402;296;45376;2450;1602;1922;50;15118;7928;11502;154;;;123;586;1;82024;244;20;;60;2612;187;;1;1.82;1;1.9;1;12.5;0;;0;
PSY2;2013;260003280;260016910;322;6;;;;58;2;;;;;;;4858;101;;;;3105;74;5763;180;;;;100;;;;;;;;;4.9;1;0.2;0;;0;;0;;0;
PSY2;2013;260006655;260000047;1545;;;;;;;;;;;;;;;;;;;;3561;;;;;;;17811;;;;;;;3;0;;0;;0;;0;;0;
PSY2;2013;270000573;270000219;1978;21;2;40;30;126;103;23;2;44;40;341;204;78854;2510;730;1626;380;8794;4064;11525;;20;;;;;155954;369;1;;3356;;1;;1;0.6;1;4.85;1;4.72;1;;0;
PSY2;2013;270025984;310021175;697;;;;;;;;;;;;;31518;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;280000050;280000142;986;43;3;;28;244;74;42;2;0;40;238;79;39410;3790;478;;149;11169;2189;21020;52;264;;;874;126;58660;417;55;;271;4018;522;;1;;0;;0;;0;;0;
PSY2;2013;280000084;280000183;931;18;1;;;40;2;18;1;;;43;2;12064;611;284;;;2610;69;2740;;;;;19;;;17;;;;57;;14;1;0.4;0;;1;6.31;0;;0;
PSY2;2013;280000696;280000134;757;;;1;;;;;;;;;;1281;;;4;;;;5929;;;;;;;7775;;;;;;;6.6;1;;0;;0;;0;;0;
PSY2;2013;290000033;290021542;6735;36;2;0;2;266;27;28;5;;;280;51;64324;1842;365;;;4681;302;34136;77;204;;;358;;69615;140;;;2;1181;3;;1;;1;;1;;0;;0;
PSY2;2013;290000173;290000041;1588;8;;;;60;13;8;;;;64;16;13985;166;;;;962;429;5553;;;;;;135;21148;;;;;;;5;1;;0;;0;;0;;0;
PSY2;2013;290000363;750043994;506;;;;;;;;;;;;;23544;;;;;;;1009;;;;;;;;;;;;;;;;;;;;;;;;
PSY2;2013;290000728;750821092;1173;;;;;;;;;;;;;5737;;;;;;;1841;;;;;;;2391;;;;;;;3;1;;0;;0;;0;;0;
PSY2;2013;290000736;290000991;725;;;;;;;;;;;;;21568;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;290000744;290001007;1271;;;;;;;;;;;;;42348;;;;;;;7033;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;290000785;220020739;322;;;;;;;;;;;;;6720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY2;2013;290000918;290000298;9545;76;2;3;;264;85;77;22;4;;285;93;;;;;;;;;;;;;;;98800;874;128;;;981;244;38.2;1;1.23;1;;1;;0;;0;
PSY2;2013;290003995;290000306;3440;41;;;;57;10;18;;;;44;8;19830;752;;;;1146;77;7375;418;;;;188;;21167;344;;;;19;15;7.6;1;0;1;32.27;0;;0;;0;
PSY2;2013;290004324;290000017;2294;;;;;;;;;;;;;;;;;;;;;;;;;;;6854;;;;;;;;1;;0;;0;;0;;0;
PSY2;2013;290004340;290000017;10193;42;10;9;32;383;48;43;10;;38;406;50;9008;4201;0;44;146;4853;0;2440;;;;;;;86189;271;9;2;79;115;1;;1;1.8;1;4;1;2.2;0;;0;
PSY2;2013;2A0000287;2A0000386;4769;85;1;3;9;136;66;85;1;3;10;139;68;33037;8325;26;485;32;2648;8738;6641;;;;;;;48553;650;;5;38;341;87;;1;3;1;35.78;1;1;1;35.54;0;
PSY2;2013;2B0000012;2B0000020;2155;;;;;;;;;;;;;11602;;;;;;;;;;;;;;15601;;;;;;;;1;;0;;1;;0;;0;
PSY2;2013;2B0003016;2B0003990;198;;;;;;;;;;;;;16092;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;2B0003917;2B0003891;211;;;;;;;;;;;;;;;;;;;;11682;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;2B0004113;2B0000467;404;50;2;3;46;92;;61;4;5;64;101;;24031;4445;452;149;1828;4527;;;;;;;;;;;;;;;;;0;;0;;1;9;0;;0;
PSY2;2013;300000023;300780046;425;15;2;0;0;113;7;16;3;0;0;116;7;18928;847;0;0;0;1332;147;11093;58;61;0;0;82;0;30829;199;23;0;0;617;0;12;1;0.7;0;;0;;0;;0;
PSY2;2013;300000080;300780103;7586;87;8;2;53;448;38;60;6;1;40;263;31;29880;3810;1599;118;1359;10103;833;15910;349;1;;;1037;42;74128;437;6;27;25;2579;28;;0;;1;33.5;0;;1;28.04;0;
PSY2;2013;300000296;;238;;;;;;;;;;;;;;;;;;;;903;;;;;;;2997;;;;;;;0.79;0;;0;;0;;0;;0;
PSY2;2013;300002128;300000247;66;;;;;;;;;;;;;15086;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;
PSY2;2013;300003308;300780038;4119;15;0;0;0;58;3;;;;;;;1141;0;0;0;0;4;0;6520;379;0;0;0;218;5;50555;319;0;0;0;1149;16;20.7;1;13.54;1;6.63;1;37.16;;33.77;;
PSY2;2013;300780210;300000148;1314;;;;;;;;;;;;;39401;;;;;;;5157;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;300780244;300000171;667;;;;;;;;;;;;;24277;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;300780251;300000189;1060;;;;;;;;;;;;;68159;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;300780269;300000197;1065;;;;;;;;;;;;;33174;;;;;;;4495;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;300780384;750721334;26;;;;;;;;;;;;;1980;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;300780764;300000429;58;;;;;;;;;;;;;5556;;;;;;;3117;;;;;;;;;;;;;;2.1;0;;0;;0;;0;;0;
PSY2;2013;300781424;300000692;339;;;;;;;;;;;;;18520;;;;;;;99;;;;;;;;;;;;;;;0;;0;;0;;;;0;
PSY2;2013;300782117;300780038;3430;48;;;;267;25;;;;;;;13440;1805;;;;7698;490;;;;;;;;14701;51;;;;139;9;20.7;;13.54;;6.63;;37.16;;33.77;;
PSY2;2013;310000369;310780754;13334;365;19;7;10;423;69;275;19;7;10;343;69;86572;15566;3461;78;30;24195;1909;34019;323;173;;;1035;5;204797;2779;354;1;10;3592;127;;0;;0;;0;;0;;1;
PSY2;2013;310016977;310781406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;1;2;0;;0;;0;;0;
PSY2;2013;310780119;310000047;664;;;;;;;;;;;;;42716;;;;;;;1719;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;310780143;310000062;1070;;;;;;;;;;;;;42453;;;;;;;1129;;;;;;;;;;;;;;;0;;1;;0;;0;;0;
PSY2;2013;310780358;310000146;1424;;;;;;;;;;;;;35464;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;310780390;310000187;1022;;;;;244;;;;;;;;52523;;;;;6663;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;310781000;310788880;1181;;;;;2;5;;;;;;;47033;;;;;60;150;5155;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;310781133;310000427;1167;;;;;;;;;;;;;45354;;;;;;;3576;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;310781141;310000435;418;0;0;0;0;0;0;0;0;0;0;0;0;17830;;;;;;;0;;;;;;;0;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;310781158;310000443;1597;;;;;;;;;;;;;43705;;;;;;;154;;;;;;;;;;;;;;;0;;0;;1;24.42;0;;0;
PSY2;2013;310781521;310000500;1015;;;;;;;;;;;;;45190;;;;;;;1193;;;;;;;;;;;;;;;0;;0;;0;;0;;0;
PSY2;2013;310782446;;3242;;;;;;;;;;;;;;;;;;;;7971;;;;;;;45833;;;;;;;;0;;0;;1;15.54;0;;0;
PSY2;2013;310783048;310781406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.33;0;;1;3.1;0;;0;;0;
