FI;GRP;RS;FI_ET;RS_ET;BOR;AN
030780100;02;CENTRE HOSPITALIER DE MONTLUCON;030781637;SERVICE DE PSYCHIATRIE CHATELARD;ST;2013
030780118;02;CENTRE HOSPITALIER DE VICHY;030000087;CH JACQUES LACARIN VICHY;ST;2013
030780126;02;CH DE BOURBON L'ARCHAMBAULT;030000095;CH BOURBON L'ARCHAMBAULT;ST;2013
030780282;02;CENTRE HOSPITALIER SPECIALISE;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;ST;2013
040780124;02;HOPITAL LOCAL DIEUDONNE COLLOMP BANON;040000028;HOPITAL DIEUDONNE COLLOMP BANON;ST;2013
040780132;02;HOPITAL LOCAL GROUES DE BARCELONNETTE;040000036;CENTRE HOSPITALIER PIERRE GROUES DE BARCELONNETTE;ST;2013
040780140;02;HOPITAL LOCAL DE CASTELLANE;040000044;HOPITAL LOCAL DE CASTELLANE;ST;2013
040780173;02;HOPITAL LOCAL GLANDEVES D'ENTREVAUX;040000051;HOPITAL LOCAL GLANDEVES D'ENTREVAUX;ST;2013
040780181;02;HOPITAL LOCAL ST MICHEL DE FORCALQUIER;040000069;HOPITAL LOCAL ST MICHEL DE FORCALQUIER;ST;2013
040780199;02;HOPITAL LOCAL SAINTE ANNE DE JAUSIERS;040000077;HOPITAL LOCAL SAINTE ANNE DE JAUSIERS;ST;2013
040780207;02;HOPITAL LOCAL DES MEES;040000085;HOPITAL LOCAL LES MEES;ST;2013
040780215;02;CENTRE HOSPITALIER DE MANOSQUE;040000093;CENTRE HOSPITALIER DE MANOSQUE;ST;2013
040780231;02;HOPITAL LOCAL LUMIERE DE RIEZ;040000119;HOPITAL LOCAL LUMIERE DE RIEZ;ST;2013
040780249;02;HOPITAL LOCAL ST JACQUES SEYNE LES ALP;040000127;Etablissement Public de Santé Vallée de la Blanche;ST;2013
040788879;02;CENTRE HOSPITALIER DE DIGNE LES BAINS;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;ST;2013
050000108;02;HOPITAL LOCAL D'AIGUILLES;050000223;HOPITAL LOCAL D'AIGUILLES;ST;2013
050000116;02;CH DES ESCARTONS DE BRIANCON;050000231;CH DES ESCARTONS DE BRIANCON;ST;2013
050000124;02;CENTRE HOSPITALIER D'EMBRUN;050000256;CENTRE HOSPITALIER D'EMBRUN;ST;2013
050002948;02;CHI DES ALPES DU SUD;040000135;SITE DE SISTERON;ST;2013
050002948;02;CHI DES ALPES DU SUD;050000348;SITE DE GAP;ST;2013
050002948;02;CHI DES ALPES DU SUD;050006436;MEDECINE GERIATRIQUE SITE GAP ADRET;ST;2013
050007145;02;CENTRE HOSPITALIER BUECH DURANCE;050000132;CH BUECH DURANCE SIEGE;ST;2013
050007145;02;CENTRE HOSPITALIER BUECH DURANCE;050000330;CHABRE COURT SEJOUR SSR;ST;2013
060003621;08;CENTRE HAUTE ENERGIE;060021342;CENTRE DE HAUTE ENERGIE;ST;2013
060006889;02;HOPITAUX DE LA VESUBIE;060000536;HOPITAUX DE LA VESUBIE;ST;2013
060019551;08;SELARL CENTRE AZUREEN DE CANCEROLOGIE;060019627;CENTRE AZUREEN CANCEROLOGIE;ST;2013
060022951;06;CENTRE DE NEPHROLOGIE;060792926;HEMODIALYSE DE LA  RIVIERA;ST;2013
060780327;02;HOPITAL LOCAL ST MAUR ST ETIENNE TINEE;060000163;HOPITAL LOCAL ST MAUR ST ETIENNE TINEE;ST;2013
060780657;02;HOPITAL LOCAL DE BREIL SUR ROYA;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;ST;2013
060780780;02;HL DU PAYS DE LA ROUDOULE A PUGET;060000411;HL DU PAYS DE LA ROUDOULE A PUGET;ST;2013
060780814;02;CTRE REEDUC CARDIO RESP VAL GORBIO;060000445;CTRE REEDUC CARDIO RESP VAL GORBIO;ST;2013
060780897;02;CENTRE HOSPITALIER DE GRASSE;060000478;CENTRE HOSPITALIER DE GRASSE;ST;2013
060780897;02;CENTRE HOSPITALIER DE GRASSE;060790680;CH DE GRASSE CENTRE DE LONG SEJOUR;ST;2013
060780905;02;HOPITAL LOCAL SAINT ELOI DE SOSPEL;060000486;HOPITAL LOCAL SAINT ELOI DE SOSPEL;ST;2013
060780921;02;HOPITAL LOCAL SAINT LAZARE DE TENDE;060000494;HOPITAL LOCAL SAINT LAZARE DE TENDE;ST;2013
060780954;02;CH D'ANTIBES JUAN LES PINS;060000510;CH D'ANTIBES JUAN LES PINS;ST;2013
060780962;08;CENTRE ANTOINE LACASSAGNE;060000528;CENTRE ANTOINE LACASSAGNE;ST;2013
060780988;02;CH PIERRE NOUVEAU CANNES;060000544;CH PIERRE NOUVEAU CANNES;ST;2013
060780988;02;CH PIERRE NOUVEAU CANNES;060794021;CH PIERRE NOUVEAU CTRE MOY SEJ CANNES;ST;2013
060781010;02;CENTRE HOSPITALIER DE VALLAURIS;060000551;CENTRE DE LONG SEJOUR;ST;2013
060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060001450;HOPITAL SAINT ROCH DU CHU DE NICE;ST;2013
060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060785003;HOPITAL PASTEUR DU CHU DE NICE;ST;2013
060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060788957;HOPITAL DE CIMIEZ;ST;2013
060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060789195;HOPITAL DE L'ARCHET DU CHU DE NICE;ST;2013
060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;ST;2013
060790540;06;AGAHTIR;060010949;UNITE DE DIALYSE MEDICALISEE ANTIBES;ST;2013
060790540;06;AGAHTIR;060019676;AUTODIALYSE AGATHIR CH PETIT PARIS;ST;2013
060790540;06;AGAHTIR;060019684;AUTODIALYSE MENTON;ST;2013
060790540;06;AGAHTIR;060021276;HEMODIALYSE AMB AGATHIR;ST;2013
060790540;06;AGAHTIR;060792090;DIALYSE DOMICILE;ST;2013
060790540;06;AGAHTIR;060792736;AUTODIALYSE AGAHTIR;ST;2013
060790540;06;AGAHTIR;060801016;AUTODIALYSE MANDELIEU;ST;2013
060790797;06;ASSOCIATION DES AMIS DE LA TRANSFUSION;060022845;UNITE DIALYSE MEDICALISEE INST TZANCK;ST;2013
060790797;06;ASSOCIATION DES AMIS DE LA TRANSFUSION;060791860;CENTRE D'HEMODIALYSE A.TZANCK;ST;2013
060790797;06;ASSOCIATION DES AMIS DE LA TRANSFUSION;060792850;DIALYSE A DOMICILE A.TZANCK;ST;2013
060790797;06;ASSOCIATION DES AMIS DE LA TRANSFUSION;060792900;AUTODIALYSE MOUGINS;ST;2013
060791761;02;CH LA PALMOSA DE MENTON;060002102;CH LA PALMOSA DE MENTON;ST;2013
060791761;02;CH LA PALMOSA DE MENTON;060790631;CH LA PALMOSA SLD DE MENTON;ST;2013
070000211;02;HOPITAL LOCAL DE SERRIÈRES;070780390;HÔPITAL LOCAL DE SERRIÈRES;ST;2013
070001649;08;SELARL IMAGERIE MÉDICALE ET RADIOTH;260003157;CENTRE MARIE CURIE;ST;2013
070002878;02;CH DES VALS D'ARDÈCHE;070000013;CH DES VALS D'ARDÈCHE;ST;2013
070002878;02;CH DES VALS D'ARDÈCHE;070783824;MAISON DE CURE DU MONTOULON;ST;2013
070002878;02;CH DES VALS D'ARDÈCHE;070784517;LONG SÉJOUR CH PRIVAS;ST;2013
070004742;02;HLI DE ROCHER-LARGENTIERE;070000146;HÔPITAL LOCAL DE LARGENTIÈRE;ST;2013
070005558;02;HL INTCOM BOURG ST ANDEOL VIVIERS;070000062;HL DE BOURG ST ANDEOL;ST;2013
070005566;02;CH D'ARDECHE MERIDIONALE;070000484;CH DE VALS LES BAINS;ST;2013
070005566;02;CH D'ARDECHE MERIDIONALE;070000609;CH D'AUBENAS;ST;2013
070005566;02;CH D'ARDECHE MERIDIONALE;070006804;SSR LEON ROUVEYROL;ST;2013
070780101;02;HOPITAL LOCAL DE JOYEUSE;070000021;HOPITAL LOCAL DE JOYEUSE;ST;2013
070780119;02;HOPITAL LOCAL VALLON PT D'ARC;070000039;HÔPITAL LOCAL DE VALLON PONT D'ARC;ST;2013
070780127;02;HL VILLENEUVE DE BERG;070000047;CH DE  VILLENEUVE DE BERG;ST;2013
070780150;02;HOPITAL LOCAL DU CHEYLARD;070000070;HOPITAL LOCAL DU CHEYLARD;ST;2013
070780218;02;HOPITAL LOCAL LES VANS;070000112;CH LÉOPOLD OLLIER;ST;2013
070780358;02;CH D'ARDÈCHE NORD;070000179;CH D'ARDÈCHE NORD;ST;2013
070780366;02;HOPITAL LOCAL DE LAMASTRE;070000187;HOPITAL LOCAL DE LAMASTRE;ST;2013
070780374;02;HL DE TOURNON;070000195;HL DE TOURNON;ST;2013
070780382;02;HL DE ST FELICIEN;070000203;HL DE ST FELICIEN;ST;2013
080000037;02;CENTRE HOSPITALIER DE SEDAN;080000110;CENTRE HOSPITALIER DE SEDAN;ST;2013
080000060;02;HOPITAL LOCAL DE FUMAY;080000284;CENTRE HOSPITALIER;ST;2013
080000078;02;HOPITAL LOCAL DE NOUZONVILLE;080000300;CENTRE HOSPITALIER DE NOUZONVILLE;ST;2013
080000086;02;CH BELAIR;080000318;CENTRE HOSPITALIER BELAIR;ST;2013
080000086;02;CH BELAIR;080009350;CTRE POST-CURE EN ALCOOLOGIE CH BELAIR;ST;2013
080000615;02;CH DE CHARLEVILLE MEZIERES;080000425;HOPITAL MANCHESTER - CH CHARLEVILLE;ST;2013
080000615;02;CH DE CHARLEVILLE MEZIERES;080003635;CENTRE DE  SANTE-SOINS DE SUITE;ST;2013
080000615;02;CH DE CHARLEVILLE MEZIERES;080009814;ANTENNE SMUR  - CH CHARLEVILLE;ST;2013
080001969;02;GROUPE HOSPITALIER SUD ARDENNES;080000219;CENTRE HOSPITALIER DE RETHEL;ST;2013
080001969;02;GROUPE HOSPITALIER SUD ARDENNES;080000276;CENTRE HOSPITALIER DE VOUZIERS;ST;2013
080001969;02;GROUPE HOSPITALIER SUD ARDENNES;080008279;SERVICE D'HOSPITALISATION A DOMICILE;ST;2013
090180019;02;CH (EX HL) SAINT LOUIS;090000019;C.H (EX H.L.) SAINT LOUIS;ST;2013
090780107;02;CENTRE HOSPITALIER DU PAYS D'OLMES;090001629;CH DU PAYS D'OLMES;ST;2013
090781774;02;CTRE HOSP INTERCOM DU VAL D'ARIEGE;090000175;CH INTERCOMMUNAL DU VAL D'ARIEGE;ST;2013
090781774;02;CTRE HOSP INTERCOM DU VAL D'ARIEGE;090002841;HOPITAL SSR;ST;2013
090781816;02;CENTRE HOSPITALIER ARIEGE COUSERANS;090000183;CENTRE HOSPITALIER  ARIEGE COUSERANS;ST;2013
090782251;02;C.H. (EX H.L.) TARASCON S/ARIEGE;090000217;C.H. (EX H.L.) TARASCON SUR ARIEGE;ST;2013
100000017;02;CENTRE HOSPITALIER DE TROYES;100000090;CENTRE HOSPITALIER DE TROYES;ST;2013
100000017;02;CENTRE HOSPITALIER DE TROYES;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;ST;2013
100000017;02;CENTRE HOSPITALIER DE TROYES;100009364;HOPITAL DE JOUR DE GERIATRIE;ST;2013
100000017;02;CENTRE HOSPITALIER DE TROYES;100009380;UNITE D'ALCOOLOGIE JEAN SCHIFFER;ST;2013
100000033;02;EPSMA;100000108;EPSMA;ST;2013
100000041;02;HOPITAL LOCAL BAR SUR AUBE;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;ST;2013
100000058;02;HOPITAL LOCAL DE BAR-SUR-SEINE;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;ST;2013
100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;100000199;GHAM - SITE DE ROMILLY-SUR-SEINE;ST;2013
100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;100000801;GHAM - SITE DE NOGENT SUR SEINE;ST;2013
100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;100007699;SERVICE D'HOSPITALISATION A DOMICILE;ST;2013
100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;510000177;GHAM - SITE DE SEZANNE;ST;2013
100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;510023922;ANTENNE DE SMUR - GHAM;ST;2013
110780061;02;CENTRE HOSPITALIER CARCASSONNE;110000023;CENTRE HOSPITALIER ANTOINE GAYRAUD;ST;2013
110780061;02;CENTRE HOSPITALIER CARCASSONNE;110006137;USLD LES RIVES D'ODE;ST;2013
110780087;02;CENTRE HOSPITALIER CASTELNAUDARY;110000049;CENTRE HOSPITALIER J.P. CASSABEL;ST;2013
110780137;02;CENTRE HOSPITALIER NARBONNE;110000056;CH NARBONNE HOTEL DIEU;ST;2013
110780137;02;CENTRE HOSPITALIER NARBONNE;110002953;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;ST;2013
110780137;02;CENTRE HOSPITALIER NARBONNE;110781283;USLD PECH DALCY CH NARBONNE LA COUPE;ST;2013
110780707;02;CENTRE HOSPITALIER LIMOUX QUILLAN;110000189;CENTRE HOSPITALIER LIMOUX-QUILLAN SITE DE LIMOUX;ST;2013
110780707;02;CENTRE HOSPITALIER LIMOUX QUILLAN;110780236;CENTRE HOSPITALIER LIMOUX-QUILLAN SITE DE QUILLAN;ST;2013
110780772;02;CENTRE HOSPITALIER LEZIGNAN;110000247;CH LEZIGNAN CORBIERES;ST;2013
110781010;02;CENTRE HOSPITALIER  PORT-LA-NOUVELLE;110000262;CENTRE HOSPITALIER FRANCIS VALS;ST;2013
120004528;02;CENTRE HOSPITALIER DE MILLAU;120004569;CENTRE HOSPITALIER DE MILLAU;ST;2013
120004528;02;CENTRE HOSPITALIER DE MILLAU;120780325;CH MILLAU SITE DE SAINT COME;ST;2013
120004528;02;CENTRE HOSPITALIER DE MILLAU;120783097;USLD MILLAU;ST;2013
120004619;02;CENTRE HOSPITALIER DE SAINT AFFRIQUE;120004668;CENTRE HOSPITALIER DE SAINT AFFRIQUE;ST;2013
120780044;02;CH DE RODEZ -HOPITAL JACQUES PUEL-;120000039;C.H. DE RODEZ -HOPITAL JACQUES PUEL-;ST;2013
120780044;02;CH DE RODEZ -HOPITAL JACQUES PUEL-;120786959;USLD OLEMPS CH RODEZ;ST;2013
120780069;02;CH VILLEFRANCHE DE ROUERGUE;120000054;CH VILLEFRANCHE DE ROUERGUE;ST;2013
120780069;02;CH VILLEFRANCHE DE ROUERGUE;120001128;CH ST ALAIN VILLEFRANCHE;ST;2013
120780069;02;CH VILLEFRANCHE DE ROUERGUE;120782263;USLD CH VILLEFRANCHE-DE-ROUERGUE;ST;2013
120780085;02;CH PIERRE DELPECH DECAZEVILLE;120000070;CH PIERRE DELPECH DECAZEVILLE;ST;2013
120780093;02;C.H.(EX H.L.) SAINT GENIEZ D'OLT;120000088;C.H.(EX H.L.)SAINT GENIEZ D'OLT;ST;2013
120780101;02;C.H.I. (EX H.L.)ESPALIONSTLAURENTD'OLT;120000096;C.H.I. (EX H.L.) ESPALION ST LAURENT D'OLT;ST;2013
120780291;02;C.H. (EX H.L.) MAURICE FENAILLE;120000153;C.H.(EX H.L.) MAURICE FENAILLE;ST;2013
120780481;02;CHI (EX H.L.) VALLON SALLES LA SOURCE;120000237;C.H.I.(EX H.L.)VALLON SALLES LA SOURCE;ST;2013
130001415;06;SAS CLINIQUE BOUCHARD;130035215;AUTODIALYSE FRIEDLAND;ST;2013
130001415;06;SAS CLINIQUE BOUCHARD;130035223;AUTODIALYSE ACTIPOLE;ST;2013
130001415;06;SAS CLINIQUE BOUCHARD;130810104;DIALYSE A DOMICILE;ST;2013
130001787;06;CENTRE DE DIALYSE DIAVERUM MARSEILLE;130034531;DIAVERUM D'ARLES;ST;2013
130001787;06;CENTRE DE DIALYSE DIAVERUM MARSEILLE;130784481;DIAVERUM MARSEILLE;ST;2013
130001928;02;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130809015;CTRE GERONTO DPTAL LA TOUR BLANCHE;ST;2013
130006562;06;SAS DIAVERUM PROVENCE;130034002;AUTODIALYSE DIAVERUM PROVENCE SALON;ST;2013
130006562;06;SAS DIAVERUM PROVENCE;130034044;AUTODIALYSE DIAVERUM PROVENCE MARIGNANE;ST;2013
130006562;06;SAS DIAVERUM PROVENCE;130034093;AUTODIALYSE DIAVERUM PROVENCE MARSEILLE;ST;2013
130006562;06;SAS DIAVERUM PROVENCE;130038045;AUTODIALYSE DIAVERUM PROVENCE ISTRES;ST;2013
130006562;06;SAS DIAVERUM PROVENCE;130802549;DIALYSE A DOMICILE DIAVERUM PROVENCE;ST;2013
130006562;06;SAS DIAVERUM PROVENCE;130811797;AUTODIALYSE DIAVERUM PROVENCE MIRAMAS;ST;2013
130006794;06;ATMIR;130024268;CENTRE HEMODIALYSE ATMIR SALON DE PROVENCE;ST;2013
130006794;06;ATMIR;130806029;AUTODIALYSE AIX EN PROVENCE;ST;2013
130006794;06;ATMIR;130806318;DIALYSE A DOMICILE ATMIR;ST;2013
130006794;06;ATMIR;840015200;AUTODIALYSE PERTUIS;ST;2013
130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130008287;ADPC AUTODIALYSE MARSEILLE;ST;2013
130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130034614;ADPC AUTODIALYSE ET VACANCES;ST;2013
130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130035959;UNITE DE DIALYSE MEDICALISEE ADPC;ST;2013
130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130806417;AUTODIALYSE ET VACANCES ADPC AUBAGNE;ST;2013
130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;2B0004071;UNITE D'AUTODIALYSE DE CORTE;ST;2013
130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;2B0004212;UNITE D'AUTODIALYSE  L'ILE ROUSSE;ST;2013
130007156;06;SAS CTRE HEMODIALYSE PROVENCE AUBAGNE;130034077;CHP AUTODIALYSE AUBAGNE;ST;2013
130007156;06;SAS CTRE HEMODIALYSE PROVENCE AUBAGNE;130809809;CENTRE D'HEMODIALYSE DE PROVENCE AUBAGNE;ST;2013
130016058;06;SAS ATUP C;130034556;AUTODIALYSE MARTIGUES;ST;2013
130016058;06;SAS ATUP C;130036650;AUTODIALYSE MARIGNANE;ST;2013
130016058;06;SAS ATUP C;130806078;AUTODIALYSE MARSEILLE;ST;2013
130016058;06;SAS ATUP C;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;ST;2013
130028228;02;HOPITAUX PORTES DE CAMARGUE TARASCON;130001258;HOPITAL LOCAL DE TARASCON;ST;2013
130029218;06;SAS CTRE HEMODIALYSE DE PROVENCE AIX;130038003;SAS CHP Aix;ST;2013
130029218;06;SAS CTRE HEMODIALYSE DE PROVENCE AIX;130811680;AUTODIALYSE DU CENTRE D'HEMODIALYSE DE PCE CHP AIX;ST;2013
130034572;08;LOCARAD;130034580;CTRE RADIOTHERAPIE PAYS D'AIX LOCARAD;ST;2013
130041916;02;CHI AIX PERTUIS;130000409;SITE D'AIX EN PROVENCE;ST;2013
130041916;02;CHI AIX PERTUIS;130798358;USLD DUQUESNE SITE AIX;ST;2013
130041916;02;CHI AIX PERTUIS;840000491;SITE DE PERTUIS;ST;2013
130780554;02;CHS EDOUARD TOULOUSE;130000235;CHS EDOUARD TOULOUSE;ST;2013
130781131;02;CHS MONTPERRIN;130000433;CHS MONTPERRIN;ST;2013
130781339;02;CH LOUIS BRUNET D'ALLAUCH;130000516;CH LOUIS BRUNET D'ALLAUCH;ST;2013
130781446;02;CH EDMOND GARCIN D'AUBAGNE;130000565;CH EDMOND GARCIN D'AUBAGNE;ST;2013
130782634;02;CH SALON DE PROVENCE;130001225;CH SALON DE PROVENCE;ST;2013
130784127;08;INSTITUT PAOLI CALMETTES;130001647;INSTITUT PAOLI CALMETTES;ST;2013
130785512;02;CENTRE HOSPITALIER DE LA CIOTAT;130002215;CENTRE HOSPITALIER DE LA CIOTAT;ST;2013
130786049;02;APHM DIRECTION GENERALE;130780521;HOPITAL NORD;ST;2013
130786049;02;APHM DIRECTION GENERALE;130783236;HOPITAL DE LA CONCEPTION;ST;2013
130786049;02;APHM DIRECTION GENERALE;130783293;HOPITAL LA TIMONE ADULTES;ST;2013
130786049;02;APHM DIRECTION GENERALE;130784234;HOPITAL SAINTE MARGUERITE;ST;2013
130786049;02;APHM DIRECTION GENERALE;130804297;HOPITAL LA TIMONE ENFANTS;ST;2013
130786494;02;CHS VALVERT MARSEILLE;130002496;CHS VALVERT MARSEILLE;ST;2013
130789274;02;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;130002827;CH JOSEPH IMBERT D'ARLES;ST;2013
130789316;02;CENTRE HOSPITALIER DE MARTIGUES;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;ST;2013
130789316;02;CENTRE HOSPITALIER DE MARTIGUES;130037674;CH DU VALLON MARTIGUES SLD;ST;2013
130789316;02;CENTRE HOSPITALIER DE MARTIGUES;130790157;CH DE MARTIGUES HOPITAL DU VALLON;ST;2013
140000035;02;CENTRE HOSPITALIER DE LISIEUX;140000027;CENTRE HOSPITALIER DE LISIEUX;ST;2013
140000035;02;CENTRE HOSPITALIER DE LISIEUX;140016106;HOPITAL DE JOUR (14 G 07) - CH LISIEUX;ST;2013
140000084;02;CENTRE HOSPITALIER D'AUNAY SUR ODON;140000076;CENTRE HOSPITALIER D'AUNAY SUR ODON;ST;2013
140000092;02;CENTRE HOSPITALIER DE BAYEUX;140004136;UNITE PSYCHIATRIQUE - CH BAYEUX;ST;2013
140000092;02;CENTRE HOSPITALIER DE BAYEUX;140017401;UNITE SOINS LONGUE DUREE - CH BAYEUX;ST;2013
140000092;02;CENTRE HOSPITALIER DE BAYEUX;140024886;CENTRE HOSPITALIER - BAYEUX;ST;2013
140000092;02;CENTRE HOSPITALIER DE BAYEUX;140025362;SSR SITE HENRY DUNANT - CH BAYEUX;ST;2013
140000092;02;CENTRE HOSPITALIER DE BAYEUX;140025487;SOINS SUITE PÉDIATRIQUES - MANoir  APRIGNY;ST;2013
140000100;02;CHRU - CAEN;140000209;CHU COTE DE NACRE - CAEN;ST;2013
140000100;02;CHRU - CAEN;140004383;CHR GEORGES CLEMENCEAU - CAEN;ST;2013
140000100;02;CHRU - CAEN;140012196;UNITE SOINS LONGUE DUREE - CHU CAEN;ST;2013
140000118;02;CENTRE HOSPITALIER DE FALAISE;140000233;CENTRE HOSPITALIER DE FALAISE;ST;2013
140000118;02;CENTRE HOSPITALIER DE FALAISE;140013830;UNITE SOINS LONGUE DUREE - CH FALAISE;ST;2013
140000134;02;CENTRE HOSPITALIER DE PONT L'EVEQUE;140000308;CENTRE HOSPITALIER DE PONT L'EVEQUE;ST;2013
140000159;02;CENTRE HOSPITALIER DE VIRE;140000373;CENTRE HOSPITALIER DE VIRE;ST;2013
140000159;02;CENTRE HOSPITALIER DE VIRE;500021274;HAD DU CH DE VIRE SITE DE MORTAIN;ST;2013
140000159;02;CENTRE HOSPITALIER DE VIRE;500021282;HAD DU CH DE VIRE SITE DE VILLEDIEU;ST;2013
140000316;02;ETS PUBLIC DE SANTE MENTALE;140000456;ETS PUBLIC DE SANTE MENTALE;ST;2013
140000639;08;CRLCC FRANCOIS BACLESSE - CAEN;140000555;CRLCC FRANCOIS BACLESSE - CAEN;ST;2013
