BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO;SEJ0_NEO;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2013;020001087;020004495;NIV1;;0;;;;;6;5;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1669;1376;170;0;0;1;15;30;15;0;0;0;0;0
PERINAT;2013;020010047;020001632;NIV1;;20;0;;;4;1082;104;6;0;0;0;0;0;4203;24;0;0;733;3605;214;1250;1;726;0;7;1;0;;;;4;0;0;;;;;;2;0;0
PERINAT;2013;030000061;030780092;NIV2;;27;6;0;0;4;1452;94;183;11;0;0;0;0;6491;1644;0;0;1137;5945;238;1635;2;1122;0;15;8;0;11045;3320;792;18;0;1;219;184;117;15;0;11;0;0
PERINAT;2013;030000079;030780100;NIV2;;24;8;2;;3;1528;81;271;10;50;3;0;0;6227;2582;379;0;1213;5695;177;1116;1;1190;2;23;7;0;1776;4503;;9;0;1;247;220;145;12;0;2;0;0
PERINAT;2013;030000087;030780118;NIV2;;24;6;;;;1612;116;199;15;0;0;0;0;6007;1818;0;0;1237;5312;221;1278;3;1226;1;11;8;0;12922;5584;;25;2;1;245;270;37;;;4;0;0
PERINAT;2013;030780548;030000194;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;11;6;;;;0;0;0
PERINAT;2013;030781116;030000426;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;41;37;;;;7;0;0
PERINAT;2013;040000093;040780215;NIV1;;19;;;;2;1170;79;0;0;0;0;0;0;4842;0;0;0;839;4029;213;1357;0;830;0;9;4;0;7599;2986;;34;0;1;330;326;209;12;;4;0;0
PERINAT;2013;040000911;040788879;NIV1;;15;;;;2;828;107;0;0;0;0;0;0;3207;0;0;0;473;2512;149;1020;0;472;0;1;1;0;7080;2311;;6;0;1;146;146;89;;;0;0;0
PERINAT;2013;050000231;050000116;NIV1;;12;;;;2;537;40;0;0;0;0;0;0;2144;0;0;0;386;1904;85;578;0;383;0;3;5;0;3847;3269;12;8;0;1;100;97;76;;;2;0;0
PERINAT;2013;050000256;050000124;CPPR;;0;;;;;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;;;;;;0;0;0
PERINAT;2013;050000348;050002948;NIV2;;22;4;;;3;1485;86;223;14;0;0;0;0;6525;1512;0;0;1070;5378;220;1661;6;1057;0;13;5;0;6895;6461;102;14;0;1;243;210;113;30;8;8;0;0
PERINAT;2013;060000478;060780897;NIV2;;32;9;3;;5;1929;79;229;6;78;5;0;0;8318;2252;723;0;1634;7549;213;1384;2;1606;0;28;5;0;32481;12153;452;38;0;1;406;433;208;33;15;3;0;0
PERINAT;2013;060000510;060780954;NIV2;;16;4;;;3;1417;121;154;19;0;0;0;0;4799;1318;0;0;1043;4242;193;1172;1;1034;0;9;9;0;7082;3001;360;66;0;1;311;360;147;32;6;65;0;0
PERINAT;2013;060000544;060780988;NIV2;;28;6;;;4;2105;126;142;13;0;0;0;0;8626;1502;0;0;1550;7407;357;2226;0;1521;0;29;17;0;9055;1541;80;12;0;1;398;333;200;41;17;25;0;0
PERINAT;2013;060002102;060791761;CPPR;;0;;;;;7;5;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;99;35;82;0;0;1;0;0
PERINAT;2013;060021417;060000221;;;1;;;;;86;83;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;118;127;0;6;;4;0;0
PERINAT;2013;060021631;060017019;NIV3;;0;0;0;0;;0;0;220;4;85;2;165;7;0;4125;1097;1937;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;0;0;0
PERINAT;2013;060780517;060000239;NIV1;;21;;;;5;1393;127;0;0;0;0;0;0;5437;0;0;0;1132;5163;269;1627;1;1122;0;10;2;0;;;;35;0;1;328;318;132;13;;23;0;0
PERINAT;2013;060780590;060000270;;;0;;;;;18;13;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;124;74;86;5;1;0;0;0
PERINAT;2013;060780699;060000346;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;102;108;69;33;2;0;0;0
PERINAT;2013;060780715;060000361;NIV1;;34;;;;6;2268;166;0;0;0;0;0;0;9241;0;0;0;1821;8391;454;2653;0;1786;0;35;6;0;;;;23;0;1;9;;;;;20;1;477
PERINAT;2013;060780756;060000403;NIV1;;53;;;;5;2987;330;0;0;0;0;0;0;11926;0;0;0;2375;10908;705;3934;0;2318;1;57;11;0;;;;51;0;1;180;180;;;;19;0;0
PERINAT;2013;060781200;060000635;;;0;;;;;47;38;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;171;122;49;;3;4;0;0
PERINAT;2013;060789195;060785011;NIV3;;48;20;9;8;9;3638;158;270;9;94;3;157;5;17448;3830;992;1570;2890;14474;675;4946;66;2791;9;99;74;0;22510;3562;;77;0;1;1241;1341;466;250;6;52;1;481
PERINAT;2013;070000013;070002878;NIV1;;9;;;;2;360;38;0;0;0;0;0;0;1238;0;0;0;238;1084;44;255;0;236;0;2;2;0;4672;2929;244;3;0;1;111;130;74;8;;2;0;0
PERINAT;2013;070000096;070780184;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1334;937;42;;;0;;;;;;;0;
PERINAT;2013;070000179;070780358;NIV2;;19;4;0;0;3;1022;101;213;40;0;0;0;0;4035;1587;0;0;730;3505;145;942;1;722;0;8;0;0;3703;4580;124;6;0;1;113;147;69;44;1;0;0;0
PERINAT;2013;070000195;070780374;CPPR;;0;;;;0;458;1;0;0;0;0;0;0;1890;0;0;0;0;0;0;0;0;0;0;0;0;0;260;799;126;0;0;0;;;;;;0;0;0
PERINAT;2013;070000609;070005566;NIV2;;17;4;;;3;1026;80;149;13;0;0;0;0;3750;876;0;0;785;3423;180;1073;1;773;1;12;6;0;8187;3067;;25;0;1;282;324;175;17;;1;0;0
PERINAT;2013;070780424;070000245;NIV1;;26;;;;4;1731;142;0;0;0;0;0;0;6665;0;0;0;1322;5740;320;1857;0;1311;0;11;4;0;;;;6;23;0;;;;;;2;1;349
PERINAT;2013;080000110;080000037;NIV2;;17;4;;;2;981;86;154;4;0;0;0;0;3659;956;0;0;684;3170;134;856;0;679;0;5;7;0;3814;4577;62;15;0;1;179;166;149;6;0;2;0;0
PERINAT;2013;080000219;080001969;CPPR;;0;;;;;24;23;0;0;0;0;0;0;1;0;0;0;4;4;0;0;0;4;0;0;0;0;1762;3474;174;0;0;0;;;;;;0;0;0
PERINAT;2013;080000276;080001969;CPPR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;397;342;11;0;0;0;;;;;;1;0;0
PERINAT;2013;080000425;080000615;NIV2;;36;12;6;;6;2340;179;325;20;168;18;0;0;9164;3048;1455;0;1683;7500;276;1631;1;1659;2;24;10;0;15429;6454;;22;0;1;354;341;171;44;2;4;1;139
PERINAT;2013;090000175;090781774;NIV2;;25;4;0;0;2;1547;162;263;80;0;0;0;0;6326;1141;0;0;1077;5483;243;1710;3;1061;0;16;8;0;;;;92;152;1;396;360;264;25;0;2;0;0
PERINAT;2013;090000183;090781816;NIV1;;4;;;;;295;35;0;0;0;0;0;0;910;0;0;0;219;821;38;202;0;219;0;0;1;0;;;;33;16;1;46;79;43;3;3;1;0;0
PERINAT;2013;090001629;090780107;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;740;5;;;0;;;;;;;0;
PERINAT;2013;100000082;100001148;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;45;40;11;0;1;0;0;0
PERINAT;2013;100000090;100000017;NIV3;;47;9;3;6;5;3194;195;481;17;155;9;118;13;13058;4450;1446;1403;2309;10718;514;3652;26;2259;1;50;8;0;13095;6262;40;32;0;1;646;569;149;78;0;60;0;0
PERINAT;2013;100000199;100006279;NIV1;;18;;;;3;734;50;0;0;0;0;0;0;2961;0;0;0;592;2726;75;440;0;588;0;4;3;0;1872;2223;2089;19;0;1;48;55;17;;;1;0;0
PERINAT;2013;100002351;100000561;NIV1;;15;;;;2;667;81;0;0;0;0;0;0;2269;0;0;0;459;2002;94;543;0;457;0;2;0;0;;;;5;0;1;120;116;51;69;;4;0;0
PERINAT;2013;110000023;110780061;NIV2;;47;6;;;5;2464;97;437;22;0;0;0;0;10668;2972;0;0;1768;9206;399;3031;1;1752;0;16;10;0;10996;4601;124;43;0;1;610;561;344;30;3;0;0;0
PERINAT;2013;110000049;110780087;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;347;572;54;;;0;;;;;;;0;
PERINAT;2013;110000056;110780137;NIV1;;15;;;;4;1193;154;0;0;0;0;0;0;4406;0;0;0;806;3791;160;969;0;795;0;11;7;0;8507;1411;131;15;0;1;480;498;293;15;1;1;0;0
PERINAT;2013;110780228;110000114;NIV1;;32;;;;3;1209;127;0;0;0;0;0;0;4223;0;0;0;713;2919;199;1106;1;704;0;9;2;0;;;;27;1;1;204;146;143;61;;4;0;0
PERINAT;2013;110780483;110000155;;;0;;;;;16;9;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;48;44;48;21;;0;0;0
PERINAT;2013;120000039;120780044;NIV2;EXT;29;12;2;;5;1614;94;218;9;44;1;0;0;8092;1656;205;0;1263;6968;231;1950;18;1238;0;25;4;0;14955;2031;159;13;10;1;295;268;191;14;0;9;1;0
PERINAT;2013;120000054;120780069;NIV1;;12;;;;2;766;79;0;0;0;0;0;0;3105;0;0;0;538;2738;115;807;0;534;0;4;2;0;4017;2078;;12;0;1;113;118;93;;0;0;0;0
PERINAT;2013;120000070;120780085;NIV1;;15;;;;2;441;62;0;0;0;0;0;0;1592;0;0;0;296;1393;51;309;0;296;0;0;3;0;114;2421;184;4;0;1;121;122;77;1;0;0;0;0
PERINAT;2013;120004569;120004528;NIV1;;10;;;;2;427;25;0;0;0;0;0;0;1584;0;0;0;301;1391;54;337;0;299;0;2;0;0;3398;3561;6;8;0;1;109;108;68;0;2;0;0;0
PERINAT;2013;120004668;120004619;NIV1;;6;;;;2;345;41;0;0;0;0;0;0;1307;0;0;0;249;1195;37;244;1;247;0;2;0;0;1055;698;214;7;0;1;21;26;9;1;;1;0;0
PERINAT;2013;130000409;130041916;NIV2;;39;12;6;;5;2575;233;511;15;200;7;0;0;11463;5301;2450;0;1933;9557;435;2847;2;1893;1;40;10;0;14503;1742;;35;0;1;878;902;439;94;6;12;1;348
PERINAT;2013;130000565;130781446;NIV1;INT;16;0;;;3;1336;108;;;0;0;0;0;5463;;0;0;926;4593;212;1298;0;917;0;9;2;0;6438;7034;220;17;0;1;340;383;179;;;4;0;0
PERINAT;2013;130001225;130782634;NIV2;;20;6;;;3;1808;119;325;22;0;0;0;0;8210;1820;0;0;1315;7042;252;1706;1;1300;0;15;1;0;;;;15;0;1;250;229;95;29;6;14;0;0
PERINAT;2013;130002215;130785512;NIV1;;20;;;;3;1291;114;0;0;0;0;0;0;4501;0;0;0;968;3927;174;957;0;958;0;10;2;0;;;;109;0;1;561;463;418;27;0;11;0;0
PERINAT;2013;130002827;130789274;NIV1;;29;;;;3;1447;122;0;0;0;0;0;0;5945;0;0;0;1042;5221;180;1244;2;1037;0;5;3;0;2482;3184;411;10;0;1;286;297;166;21;6;1;0;0
PERINAT;2013;130002835;130789316;NIV2;;41;10;3;0;4;2820;200;323;17;134;5;0;0;11159;2608;846;0;2040;9273;492;2986;1;2004;2;36;9;0;14246;9346;502;19;0;1;686;619;354;3;5;1;0;0
PERINAT;2013;130008253;130001084;NIV1;;32;;;;4;2044;178;0;0;0;0;0;0;7486;0;0;0;1535;6475;275;1568;3;1525;0;10;4;0;;;;23;0;1;324;225;226;5;2;15;0;0
PERINAT;2013;130780521;130786049;NIV3;;43;25;16;11;5;3611;230;547;9;359;5;378;21;18937;8399;6068;3283;2536;14424;684;6316;0;2448;13;88;108;0;;;;111;3;1;807;882;486;71;12;72;0;0
PERINAT;2013;130781370;130000532;;;1;;;;;12;10;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;30;30;22;0;;5;0;0
PERINAT;2013;130781479;130000599;NIV1;;15;;;;3;601;53;0;0;0;0;0;0;2576;0;0;0;458;2239;110;711;0;451;0;7;0;0;;;;1;0;1;29;26;0;29;0;8;0;0
PERINAT;2013;130783236;130786049;NIV3;;62;39;15;15;5;4186;191;946;24;356;14;778;325;23038;13167;4818;5117;2950;16913;769;6906;5;2849;9;101;85;0;;;;62;4;1;2380;2195;872;278;18;49;1;530
PERINAT;2013;130783327;130001415;NIV2;;39;6;;;5;2643;249;624;18;0;0;0;0;11300;1934;0;0;2055;10159;547;3514;6;2018;1;37;11;0;;;;23;0;1;437;348;292;145;;24;1;1071
PERINAT;2013;130783665;130043722;;;0;;;;;33;32;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;511;498;356;;;0;0;0
PERINAT;2013;130784713;130038847;NIV2;;36;12;0;;8;2623;80;644;8;0;0;0;0;12000;3030;0;0;2161;10480;546;3580;7;2140;0;21;11;0;;;;15;0;1;140;135;103;;;5;0;0
PERINAT;2013;130785652;130014228;NIV2;;83;30;12;;10;5362;229;1122;21;485;24;0;0;25036;7679;3625;0;4394;21686;847;5539;11;4322;2;72;41;0;5564;4449;;9;0;0;;;;;;72;1;591
PERINAT;2013;130786445;130002488;NIV2;;62;12;;;7;3160;237;886;13;0;0;0;0;16719;4573;0;0;2474;13529;566;4267;5;2435;0;39;6;0;;;;8;0;0;;;;;;0;0;0
PERINAT;2013;140000027;140000035;NIV2;;32;12;3;;;1603;99;462;16;60;12;0;0;7647;3508;278;0;1159;6351;212;1572;12;1138;0;21;3;0;;;;5;1;1;255;401;146;30;;51;0;0
PERINAT;2013;140000076;140000084;CPPR;;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1499;1698;79;;;0;;;;;;;0;
PERINAT;2013;140000209;140000100;NIV3;;87;25;10;14;7;4483;516;682;21;308;5;317;18;22340;8580;3401;3874;3135;18615;650;6244;5;3048;4;87;40;0;23954;13839;340;206;393;1;1134;993;536;123;10;23;1;440
PERINAT;2013;140000233;140000118;NIV1;;20;;;;2;567;40;0;0;0;0;0;0;2389;0;0;0;399;2049;92;615;0;395;0;4;1;0;4599;3207;172;4;0;1;92;93;55;5;2;1;0;0
PERINAT;2013;140000373;140000159;CPPR;;7;0;0;0;0;102;5;0;0;0;0;0;0;289;0;0;0;3;8;0;0;0;3;0;0;0;0;720;1217;26;0;0;1;11;50;11;0;0;0;0;0
PERINAT;2013;140016759;140003146;NIV2;;44;6;;;8;2376;191;283;9;0;0;0;0;10466;1557;0;0;1990;9851;389;2395;1;1971;0;19;6;0;;;;11;0;1;6;;;;;16;0;0
PERINAT;2013;140024886;140000092;NIV1;;17;;;;3;875;120;0;0;0;0;0;0;3376;0;0;0;622;3077;102;633;0;613;0;9;4;0;7584;2120;150;12;0;1;159;140;83;13;2;4;0;0
PERINAT;2013;140026410;140026279;NIV1;;20;;;;4;679;82;0;0;0;0;0;0;2649;0;0;0;486;2350;83;512;0;483;0;3;3;0;7202;2779;;6;0;1;215;174;206;30;0;1;0;0
PERINAT;2013;140026709;140000415;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;28;71;15;0;;0;0;0
PERINAT;2013;150000032;150780088;NIV1;;15;;;;2;649;69;0;0;0;0;0;0;2631;0;0;0;398;2097;105;699;0;397;0;1;3;0;3084;1515;;3;0;1;81;82;43;0;0;0;0;0
PERINAT;2013;150000040;150780096;NIV2;;22;6;6;;2;1213;109;305;50;305;50;0;0;5032;1492;1492;0;899;4496;190;1213;0;892;1;7;8;0;9960;4169;;11;0;1;235;198;109;15;;31;0;0
PERINAT;2013;150000164;150780468;CPPR;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;2554;254;36;;;0;;;;;;;0;
PERINAT;2013;150780732;150000271;;;1;;;;;10;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;19;18;13;0;;0;0;0
PERINAT;2013;160000253;160000451;NIV2;EXT;29;13;6;0;5;2089;132;405;24;155;24;0;0;8574;3368;883;0;1608;7479;286;1908;17;1571;1;37;11;0;17075;7745;425;35;1;1;499;474;304;2;0;2;0;0
PERINAT;2013;160000303;160006037;CPPR;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;288;692;16;;;0;0;;0;;;;0;
PERINAT;2013;160000337;160000493;CPPR;;0;;;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;3;;3;;;0;0;0
PERINAT;2013;160013207;160001632;NIV1;;40;;;;6;1506;136;0;0;0;0;0;0;5831;0;0;0;1104;4971;240;1442;1;1099;1;5;3;0;;;;12;4;1;166;154;57;;;0;0;0
PERINAT;2013;160015368;160014411;NIV1;;15;;;;3;835;83;0;0;0;0;0;0;3103;0;0;0;628;2752;65;370;0;628;0;0;0;0;7943;6024;;17;0;1;107;143;6;;;3;0;0
PERINAT;2013;170000038;170780050;CPPR;;0;;;;0;8;2;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;1860;2573;86;0;0;1;60;45;41;19;;2;0;0
PERINAT;2013;170000087;170023279;NIV2;;30;12;4;;5;2219;204;351;19;131;15;0;0;9322;2978;987;0;1691;8367;303;1888;16;1662;2;29;9;0;16258;7647;158;17;2;1;674;588;454;59;;7;0;0
PERINAT;2013;170000095;170780167;NIV1;;10;;;;3;449;39;0;0;0;0;0;0;1785;0;0;0;334;1606;61;352;0;333;0;1;2;0;4283;3940;203;4;0;1;110;103;67;8;0;2;0;0
PERINAT;2013;170000103;170780175;NIV2;;28;14;3;;;1729;177;312;21;139;24;0;0;6868;3938;453;0;1297;6125;221;1349;3;1268;2;29;13;0;4141;8132;;35;0;1;342;296;238;33;0;39;0;0
PERINAT;2013;170000152;170780225;NIV2;;17;4;;;3;1298;118;226;11;0;0;0;0;5350;1244;0;0;957;4762;161;1121;0;944;0;13;4;0;16563;2568;15;11;0;1;262;291;127;6;;16;0;0
PERINAT;2013;170780563;170000251;NIV1;;24;;;;3;822;76;0;0;0;0;0;0;3223;0;0;0;588;2753;129;848;2;585;0;3;7;0;;;;17;0;1;178;88;100;11;4;16;0;0
PERINAT;2013;170780613;170000277;NIV1;;18;;;;;755;69;0;0;0;0;0;0;2763;0;0;0;618;2607;143;853;0;612;1;6;2;0;;;;9;0;1;67;37;54;13;;1;1;410
PERINAT;2013;180000010;180000028;NIV2;;31;15;3;0;4;2074;258;368;27;103;19;0;0;8635;2186;311;0;1518;7511;221;1504;15;1484;1;34;9;0;9197;4208;;22;0;1;548;554;409;46;0;13;0;0
PERINAT;2013;180000200;180000051;NIV1;;15;;;;3;830;124;0;0;0;0;0;0;3030;0;0;0;528;2593;143;874;0;522;0;6;1;0;;;;4;0;1;144;156;95;8;1;12;0;0
PERINAT;2013;180000283;180000069;NIV1;;15;;;;2;533;49;0;0;0;0;0;0;2408;0;0;0;386;2143;69;509;0;382;0;4;0;0;1535;874;;2;0;1;84;87;56;28;;0;0;0
PERINAT;2013;180004145;180000887;NIV1;;19;;;;;392;17;0;0;0;0;0;0;1732;0;0;0;338;1619;61;406;0;338;0;0;0;0;;;;3;0;0;;;;;;0;0;0
PERINAT;2013;190000018;190000042;NIV2;;22;6;;;5;1133;75;119;10;0;0;0;0;4896;1240;0;0;806;4211;147;1064;3;797;0;9;4;0;5432;4718;253;11;1;1;433;421;271;22;0;2;0;0
PERINAT;2013;190000026;190000059;NIV2;EXT;15;4;;;;857;73;112;9;0;0;0;0;3352;983;0;0;607;2937;146;880;2;603;0;4;2;0;3720;2314;263;5;0;1;144;135;61;0;;1;0;0
PERINAT;2013;190000091;190000075;NIV1;;6;;;;2;404;27;0;0;0;0;0;0;1639;0;0;0;249;1326;47;321;0;249;0;0;1;0;2806;2452;3;1;0;1;87;88;50;3;0;1;0;0
PERINAT;2013;190000257;190001131;NIV1;;18;;;;4;1132;113;0;0;0;0;0;0;4498;0;0;0;766;3845;235;1474;0;758;0;8;2;0;;;;2;0;1;92;65;15;;;27;0;0
PERINAT;2013;210780110;210000022;NIV2;;42;12;4;;;2392;143;318;3;46;2;0;0;10795;2666;184;0;1949;9661;438;2971;0;1921;0;28;0;0;;;;14;0;0;;;;;;0;0;0
PERINAT;2013;210987558;210780581;NIV3;EXT;64;31;15;16;8;4366;476;775;33;319;5;320;6;19429;10081;5824;4149;3007;15363;492;4146;5;2914;4;93;79;0;18399;18094;0;76;0;1;1010;982;346;;;73;1;711
PERINAT;2013;210987657;210780714;NIV1;;24;0;0;0;2;1048;103;0;0;0;0;0;0;4610;0;0;0;790;4249;137;1023;0;785;0;5;5;0;6228;1323;228;6;0;1;136;159;57;4;0;1;0;0
PERINAT;2013;210987665;210010070;CPPR;;;;;;;11;11;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;;;;0;0;1;5;7;5;;;0;0;0
PERINAT;2013;210987699;210780706;NIV1;;15;;;;2;813;101;0;0;0;0;0;0;2870;0;0;0;491;2318;76;483;0;491;0;0;2;0;3299;1419;2130;3;0;1;62;72;19;2;0;1;0;0
PERINAT;2013;220000012;220000020;NIV3;INT;35;13;6;6;5;3761;863;523;16;198;4;168;5;14726;6118;1571;1803;2235;11760;475;3597;27;2180;0;55;25;0;11184;6434;1196;36;0;1;477;456;300;29;1;39;0;0
PERINAT;2013;220000095;220000046;NIV2;;16;4;0;0;3;1074;109;302;19;0;0;0;0;4154;1443;0;0;809;3786;141;912;0;799;0;10;4;0;7729;1726;295;19;0;1;249;259;186;10;;14;0;0
PERINAT;2013;220000301;220000673;NIV2;;24;6;;;5;1125;69;110;1;0;0;0;0;5020;834;0;0;876;4218;153;961;0;869;0;7;5;0;;;;10;0;1;133;130;94;;;8;0;0
PERINAT;2013;220000343;220000079;NIV1;;18;;;;2;857;103;0;0;0;0;0;0;3263;0;0;0;634;2894;105;669;0;630;1;4;2;0;7314;8056;;12;0;1;238;196;176;8;;6;0;0
PERINAT;2013;220000368;220000103;NIV1;;21;;;;2;1136;124;0;0;0;0;0;0;4666;0;0;0;779;3945;157;1114;0;766;0;13;3;0;;7309;;11;59;1;235;194;164;69;0;9;0;0
PERINAT;2013;220000541;220000152;;;0;;;;0;6;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;25;32;25;;;0;0;0
PERINAT;2013;230000820;230780041;NIV2;;20;4;0;0;2;887;64;252;7;0;0;0;0;3962;1172;0;0;588;3334;129;997;0;581;0;7;1;0;1281;1714;266;5;0;1;165;163;92;21;0;0;0;0
PERINAT;2013;240000190;240000596;NIV1;;0;;;;;20;17;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;64;50;45;;;2;1;188
PERINAT;2013;240000372;240000059;NIV1;;51;;;;3;1370;138;0;0;0;0;0;0;4900;0;0;0;981;4353;206;1159;0;970;0;11;7;0;4308;4065;0;20;1;1;344;368;231;2;0;16;0;0
PERINAT;2013;240000489;240000117;NIV2;;34;12;3;;6;2316;265;356;19;100;17;0;0;10474;2799;398;0;1720;9446;319;2505;5;1690;2;30;6;0;10039;2462;32517;25;0;1;591;522;225;58;0;15;0;0
PERINAT;2013;240000687;240000448;NIV1;;15;;;;;524;74;0;0;0;0;0;0;1947;0;0;0;366;1786;79;518;1;363;0;3;3;0;7057;2359;;8;0;1;153;173;112;;;0;0;0
PERINAT;2013;250000114;900000365;NIV2;;30;6;;;4;1974;225;181;18;0;0;0;0;8216;1026;0;0;1381;7187;235;1678;0;1367;0;14;8;0;;;;6;140;1;454;440;235;15;1;0;0;0
PERINAT;2013;250000700;250000452;NIV2;;22;6;0;0;4;1613;94;300;26;0;0;0;0;6819;2105;0;0;1288;6230;251;1677;2;1277;1;11;4;0;7286;4191;58;23;0;1;265;245;218;0;0;16;0;0
