FI;GRP;RS;FI_ET;RS_ET;BOR;an;FI_EJ
100007699;4;SERVICE D'HOSPITALISATION A DOMICILE;;;STB;2013;100006279
100009364;4;HOPITAL DE JOUR DE GERIATRIE;;;STB;2013;100000017
100009380;4;UNITE D'ALCOOLOGIE JEAN SCHIFFER;;;STB;2013;100000017
110000023;4;CENTRE HOSPITALIER ANTOINE GAYRAUD;;;STB;2013;110780061
110000049;4;CENTRE HOSPITALIER J.P. CASSABEL;;;STB;2013;110780087
110000056;4;CH NARBONNE HOTEL DIEU;;;STB;2013;110780137
110000189;4;CENTRE HOSPITALIER LIMOUX-QUILLAN SITE DE LIMOUX;;;STB;2013;110780707
110000247;4;CH LEZIGNAN CORBIERES;;;STB;2013;110780772
110000262;4;CENTRE HOSPITALIER FRANCIS VALS;;;STB;2013;110781010
110002953;14;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;110003381;CH NARBONNE CMP PSY INFANTO-JUVENILE;STB;2013;110780137
110002953;14;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;110006996;CH NARBONNE HJ PSY ADULTE ALCOOLIQUE;STB;2013;110780137
110002953;14;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;110781291;CH NARBONNE CLINIQUE PSY STE-THERESE;STB;2013;110780137
110002953;14;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;110787256;CH NARBONNE HOPITAL DE JOUR E. SAUNIER;STB;2013;110780137
110002953;14;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;110788072;CH NARBONNE CMP PSY INFANTO-JUVE;STB;2013;110780137
110002953;14;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE;110788114;CH NARBONNE HOPIT. DE JOUR BROSSOLETTE;STB;2013;110780137
110006137;4;USLD LES RIVES D'ODE;;;STB;2013;110780061
110780152;15;CLINIQUE DE MIREMONT;;;STB;2013;110000064
110780236;4;CENTRE HOSPITALIER LIMOUX-QUILLAN SITE DE QUILLAN;;;STB;2013;110780707
110781283;4;USLD PECH DALCY CH NARBONNE LA COUPE;;;STB;2013;110780137
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110002920;CENTRE ACCUEIL THERAPEUTIQUE;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110002946;CLINIQUE LES OLIVIERS;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110002979;CMP ADULTES LIMOUX;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110002987;CENTRE ACCUEIL THERAPEUTIQUE ASM;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110002995;CENTRE ACCUEIL THERAPEUTIQUE ENFANTS;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110003407;CENTRE ACCUEIL THERAPEUTIQUE;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110004215;CMP ENFANTS CASTELNAUDARY;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110004272;CTRE DEPT. ACCUEIL & SOINS ADOLESCENTS;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110004371;HOPITAL DE JOUR A VOCATION GERIATRIQUE;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110004397;POLE SANTE ASM MONTREDON;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110005279;UNITE PSYCHIATRIE GENERALE ASM LIMOUX;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110006376;HJ PSYCHIATRIE ADULTES ASM;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110006384;HJ PSYCHIATRIE INFANTO JUVENILE ASM;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110006392;HJ PSYCHIATRIE ADULTES ASM LEZIGNAN;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110007010;HJ PSY ADULTES CARCASSONNE ASM;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110785383;CENTRE READAPT POST CURE LEON CASSAN;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110785409;CMP DE LEZIGNAN;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110785417;CMP DE CASTELNAUDARY;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110785482;CMP HOPITAL DE JOUR CARCASSONNE;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110785516;CTRE PSYCHOTHERAP. ARAGOU-LES TILLEULS;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110785532;INTERSECTEUR PSY.INF. JUV. CARCASSONNE;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110786555;HOPITAL DE JOUR ADULTES;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110786738;INTERSECTEUR PSY.INF. JUVENILE LIMOUX;STB;2013;
110786324;5;ASSOCIATION AUDOISE SOCIALE & MEDICALE;110788841;CENTRE MEDICO-PSYCHO ASM SECTEUR 2;STB;2013;
120000039;4;C.H. DE RODEZ -HOPITAL JACQUES PUEL-;;;STB;2013;120780044
120000054;4;CH VILLEFRANCHE DE ROUERGUE;;;STB;2013;120780069
120000070;4;CH PIERRE DELPECH DECAZEVILLE;;;STB;2013;120780085
120000088;4;C.H.(EX H.L.)SAINT GENIEZ D'OLT;;;STB;2013;120780093
120000096;4;C.H.I. (EX H.L.) ESPALION ST LAURENT D'OLT;;;STB;2013;120780101
120000153;4;C.H.(EX H.L.) MAURICE FENAILLE;;;STB;2013;120780291
120000237;4;C.H.I.(EX H.L.)VALLON SALLES LA SOURCE;;;STB;2013;120780481
120001128;4;CH ST ALAIN VILLEFRANCHE;;;STB;2013;120780069
120004569;4;CENTRE HOSPITALIER DE MILLAU;120001839;HOPITAL DE JOUR STE ANNE MILLAU;STB;2013;120004528
120004569;4;CENTRE HOSPITALIER DE MILLAU;120001888;HOPITAL DE JOUR CH MILLAU;STB;2013;120004528
120004668;4;CENTRE HOSPITALIER DE SAINT AFFRIQUE;;;STB;2013;120004619
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120003488;CMP LAGUIOLE CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120003538;CMP CAPDENAC CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120003769;HOPITAL DE JOUR LE RIAL CHS STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004098;CATTP;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004189;HOPITAL DE JOUR ST FRANCOIS;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004239;HOPITAL DE JOUR CLINIQUE STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004288;HOPITAL DE JOUR LACOMBE ST MICHEL;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004759;CLINIQUE DE BOURRAN CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004809;CLINIQUE STE MARIE CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004817;HOP DE JOUR ESPALION CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120004825;APPART THERA RODEZ CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120005129;CATTP;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120005178;CATTP;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120005756;CMP REQUISTA CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120005764;CMP SAINT GENIEZ D'OLT CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120005772;CMP NAUCELLE CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120785555;CMP DECAZEVILLE CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120785563;CMP ESPALION CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120786033;HOP DE JOUR DEDCAZEVILLE CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120786058;HOP JOUR VILLEFRANCHE CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120786223;CMP RODEZ CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120786231;CMP VILLEFRANCHE  CH STE MARIE;STB;2013;630786754
120780283;15;CENTRE HOSPITALIER SAINTE MARIE;120787932;HOP JOUR ET NUIT RODEZ CH STE MARIE;STB;2013;630786754
120780325;4;CH MILLAU SITE DE SAINT COME;;;STB;2013;120004528
120782263;4;USLD CH VILLEFRANCHE-DE-ROUERGUE;;;STB;2013;120780069
120783097;4;USLD MILLAU;;;STB;2013;120004528
120786959;4;USLD OLEMPS CH RODEZ;;;STB;2013;120780044
130000235;14;CHS EDOUARD TOULOUSE;130034424;CHS EDOUARD TOULOUSE HJ LE CANET;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130034440;CHS EDOUARD TOULOUSE HJ CLAUDEL;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130780489;CMP INFANTILE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130792880;CMP LE PARC;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130792914;CMP DE LA VISTE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130793029;CMP VILLA JEANNE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130796303;CMP LA MARINE BLANCHE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130798473;CHS EDOUARD TOULOUSE HJ PRESSENSE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130801087;CHS EDOUARD TOULOUSE HJ MARINE BLANCHE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130801343;CMP BELLE DE MAI;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130802077;CMP SAINT LOUIS;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130802093;CMP PYTHEAS;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130806201;CMP PRESSENSE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130807902;CATTP MAISON ROSE;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130807910;CHS EDOUARD TOULOUSE HJ BLANC;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130807928;CHS EDOUARD TOULOUSE HJ HENRI COLLOMB;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130808298;CHS EDOUARD TOULOUSE HJ LES COLOMBES;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130808363;CMP LES CARMES;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130808389;CHS EDOUARD TOULOUSE HJ SAINT JEROME;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130808405;CHS EDOUARD TOULOUS HJ LE VIADUC;STB;2013;130780554
130000235;14;CHS EDOUARD TOULOUSE;130808462;CMP LE CLOS LA ROSE;STB;2013;130780554
130000409;4;SITE D'AIX EN PROVENCE;;;STB;2013;130041916
130000433;14;CHS MONTPERRIN;130029259;CATTP LA ROSERAIE S9;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130029309;CATTP LA FONTAINE S8;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130029358;CMP JEAN SUTTER;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130038433;CHS MONTPERRIN HOSPIT ADO OXALIS;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130781651;CMP LA BOETIE S7;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130789324;CMP BOULEGON;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130792963;CMP ACANTHE;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130793037;CMP GAUGUIN S7;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130793045;CMP DE MIRAMAS S9;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130796295;CMP LE LIOURAT S7;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130796824;CMP VILLA BLANCHE S19;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130797517;CMP LE THERMIDOR;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130798481;CHS MONTPERRIN CPI VITROLLES S7;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130801335;CMP LES PRAIRIES;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130803679;CMP LAMBESC S9;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130803711;ANTENNE CMP DE ROGNAC;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130806300;CMP LES TOURNESOLS S21;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130806409;CMP PIERRE CARABELLI;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130806904;CMP PAUL CEZANNES8;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130806953;CMP DE SALON DE PROVENCE;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807407;CENTRE REEDUCATION POUR ALCOOLIQUES;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807449;CMP VILLA MELODIE;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807456;CATTP VILLA MELODIE;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807464;CHS MONTPERRIN HJ VILLA MELODIE;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807472;CATTP ACANTHE S22;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807480;CHS MONTPERRIN HJ ACANTHE S 22;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807498;CATTP VILLA AVRIL;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807514;CMP RAYNAUD TRETS S17;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807522;CMP LE PIGONNET;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807530;CHS MONTPERRIN HJ HELLEBORE S18;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807720;CATTP VILLA BLANCHE S19;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807746;CATTP -LA ROSE DES SABLES- S20;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807761;CATTP LES PRAIRIES;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807787;CHS MONTPERRIN CENTRE DE JOUR S8;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807803;CMP LA FONTAINE S8;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130807829;CATTP LA BOETIE S7;STB;2013;130781131
130000433;14;CHS MONTPERRIN;130808454;CATTP CILAOS;STB;2013;130781131
130000516;4;CH LOUIS BRUNET D'ALLAUCH;;;STB;2013;130781339
130000565;4;CH EDMOND GARCIN D'AUBAGNE;;;STB;2013;130781446
130001225;4;CH SALON DE PROVENCE;;;STB;2013;130782634
130001258;4;HOPITAL LOCAL DE TARASCON;;;STB;2013;130028228
130002215;4;CENTRE HOSPITALIER DE LA CIOTAT;;;STB;2013;130785512
130002496;14;CHS VALVERT MARSEILLE;130030059;CHS VALVERT HJ LES ECOUTILLES;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130030109;CHS VALVERT HOPITAL DE JOUR FARDELOUP;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130030299;CMP HUGUES;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130030349;CMP SAIGON;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130044068;CMP CATTP ENFANTS ADO LES RICOCHETS;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130044076;CMP CATTP L'ILE VERTE;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130044084;CMP PERSONNES AGEES;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130792997;CMP SAINT BARNABE;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130797004;CMP AUBAGNE;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130806102;CMP SAINT MARCEL;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130806151;CMP LA CIOTAT;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130808264;CHS VALVERT HJ L'AUBIGNANE;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130808272;CHS VALVERT HJ GUASQUY MARSEILLE;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130808280;CMP CATTP ALLAUCH PLAN DE CUQUES;STB;2013;130786494
130002496;14;CHS VALVERT MARSEILLE;130808629;CHS VALVERT HOPITAL DE JOUR AGORA;STB;2013;130786494
130002827;4;CH JOSEPH IMBERT D'ARLES;130796287;CMP VAN GOGH;STB;2013;130789274
130002827;4;CH JOSEPH IMBERT D'ARLES;130796402;CMP DU CH JOSEPH IMBERT;STB;2013;130789274
130002827;4;CH JOSEPH IMBERT D'ARLES;130806706;CMP DE SAINT REMY DE PROVENCE;STB;2013;130789274
130002827;4;CH JOSEPH IMBERT D'ARLES;130806755;CMP DE TARASCON;STB;2013;130789274
130002827;4;CH JOSEPH IMBERT D'ARLES;130807001;CMP DE CHATEAURENARD;STB;2013;130789274
130002827;4;CH JOSEPH IMBERT D'ARLES;130808314;CMP TRINQUETAILLE;STB;2013;130789274
130002827;4;CH JOSEPH IMBERT D'ARLES;130808348;CMP D'ARLES;STB;2013;130789274
130002835;4;CH DE MARTIGUES HOPITAL DES RAYETTES;;;STB;2013;130789316
130037674;4;CH DU VALLON MARTIGUES SLD;;;STB;2013;130789316
130780273;15;MAISON DE SANTE DE SAINTE MARTHE;;;STB;2013;130000151
130780521;3;HOPITAL NORD;;;STB;2013;130786049
130781065;15;CLINIQUE PSYCHIATRIQUE LA JAUBERTE;;;STB;2013;130000417
130781594;15;SAS CLINIQUE SAINT MICHEL;;;STB;2013;130010648
130783236;3;HOPITAL DE LA CONCEPTION;;;STB;2013;130786049
130783293;3;HOPITAL LA TIMONE ADULTES;;;STB;2013;130786049
130783764;15;CLINIQUE MON REPOS;130786247;CLINIQUE PSYCHIATRIQUE DES TROIS LUCS;STB;2013;750043994
130784234;3;HOPITAL SAINTE MARGUERITE;130035884;APHM HOPITAUX SUD STE MARGUERITE PSY;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130792856;SMPR;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130792898;CMP DE LA CAPELETTE;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130796279;CMP LA CHLORIS;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130796550;CMP MICHELET;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130796873;CMP JEANNE D'ARC;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130802085;CMP PARADIS;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130802101;CMP RAPHAEL;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130806003;CMP LES CHARTREUX;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130806052;CMP D'ENDOUME;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130808231;CMP D'ACCUEIL INTERSECTORIEL;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130808256;CMP STANISLAS TORRENTS;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130808520;CATTP JEANNE D'ARC;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130808538;CATTP D'ENDOUME;STB;2013;130786049
130784234;3;HOPITAL SAINTE MARGUERITE;130808546;CATTP DE LA CAPELETTE;STB;2013;130786049
130784291;15;CLINIQUE DES TROIS CYPRES;;;STB;2013;130001696
130784549;15;CLINIQUE DE POST CURE PSY LA BASTIDE;;;STB;2013;130001811
130784606;15;CLINIQUE SAINT ROCH MONTFLEURI;;;STB;2013;130001860
130784697;15;SAS CLINIQUE DES QUATRE SAISONS;;;STB;2013;130001902
130786015;15;clinique VALFLEUR;;;STB;2013;130002322
130786890;15;HJ LE RELAIS SERENA;;;STB;2013;130001688
130786973;15;CLINIQUE MEDIAZUR;;;STB;2013;130002702
130790157;14;CH DE MARTIGUES HOPITAL DU VALLON;130806458;CMP DE PORT DE BOUC;STB;2013;130789316
130790157;14;CH DE MARTIGUES HOPITAL DU VALLON;130806508;CMP LES HEURES CLAIRES;STB;2013;130789316
130790157;14;CH DE MARTIGUES HOPITAL DU VALLON;130806557;CMP DE FOS SUR MER;STB;2013;130789316
130790157;14;CH DE MARTIGUES HOPITAL DU VALLON;130806607;CMP DE JONQUIERES;STB;2013;130789316
130790157;14;CH DE MARTIGUES HOPITAL DU VALLON;130806656;CMP DE MARIGNANE;STB;2013;130789316
130790157;14;CH DE MARTIGUES HOPITAL DU VALLON;130806805;CMP DE PORT ST LOUIS DU RHONE;STB;2013;130789316
130790157;14;CH DE MARTIGUES HOPITAL DU VALLON;130808306;CATTP DE MARIGNANE;STB;2013;130789316
130798002;15;CLINIQUE LA LAURANNE;;;STB;2013;130004807
130798358;4;USLD DUQUESNE SITE AIX;;;STB;2013;130041916
130804032;5;ASSOCIATION REGIONALE POUR L'INTEGRATION;130786569;HOPITAL DE JOUR PLOMBIERES;STB;2013;
130804032;5;ASSOCIATION REGIONALE POUR L'INTEGRATION;130797962;HOPITAL DE JOUR DE LA CIOTAT;STB;2013;
130804297;3;HOPITAL LA TIMONE ENFANTS;;;STB;2013;130786049
130806011;15;MS SAINT PAUL DE MAUSOLE;;;STB;2013;130001183
130809015;4;CTRE GERONTO DPTAL LA TOUR BLANCHE;;;STB;2013;130001928
140000027;4;CENTRE HOSPITALIER DE LISIEUX;;;STB;2013;140000035
140000076;4;CENTRE HOSPITALIER D'AUNAY SUR ODON;;;STB;2013;140000084
140000209;4;CHU COTE DE NACRE - CAEN;140018037;CATTP HEROUVILLE (14G01) - CHU CAEN;STB;2013;140000100
140000209;4;CHU COTE DE NACRE - CAEN;140018276;CMP HEROUVILLE (14G01) - CHU CAEN;STB;2013;140000100
140000209;4;CHU COTE DE NACRE - CAEN;140019415;ATELIER THERAPEUTIQUE (14G01)-CHU CAEN;STB;2013;140000100
140000209;4;CHU COTE DE NACRE - CAEN;140022864;CMP OUISTREHAM (14G01) - CHU CAEN;STB;2013;140000100
140000209;4;CHU COTE DE NACRE - CAEN;140022989;CMP - DOUVRES LA DELIVRANDE;STB;2013;140000100
140000209;4;CHU COTE DE NACRE - CAEN;140024266;CENTRE DE CRISE ESQUIROL - CHU CAEN;STB;2013;140000100
140000209;4;CHU COTE DE NACRE - CAEN;140025818;CENTRE DE RESSOURCES AUTISME;STB;2013;140000100
140000233;4;CENTRE HOSPITALIER DE FALAISE;;;STB;2013;140000118
140000241;4;CH COTE FLEURIE - SITE D'EQUEMAUVILLE;;;STB;2013;140026279
140000308;4;CENTRE HOSPITALIER DE PONT L'EVEQUE;;;STB;2013;140000134
140000324;14;CH COTE FLEURIE - SITE DE TROUVILLE;;;STB;2013;140026279
140000373;4;CENTRE HOSPITALIER DE VIRE;140017864;CENTRE DE POST-CURE PSYCHIATR.;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140017971;HOPITAL DE JOUR (14 G 06 ) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140017989;HOPITAL DE JOUR (14 G 06 ) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140017997;HOPITAL DE JOUR (14 G 06 ) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018086;CATTP DES ANEMONES (14G06) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018094;CATTP CONDE/NOIREAU (14G06) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018102;CATTP AUNAY/ODON (14G06) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018342;CMP ADULTES (14G06) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018359;CENTRE VAUBAILLON (14G06) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018367;CMP AUNAY/ODON (14G06) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018516;CMP ENFANTS (14I04) - CH VIRE;STB;2013;140000159
140000373;4;CENTRE HOSPITALIER DE VIRE;140018524;CMP AUNAY/ODON (14I04) - CH VIRE;STB;2013;140000159
