BOR;AN;FI;GRP;FI_EJ;REG;DEP;TSANT;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;RS;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARM
IDB;2013;010009934;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200108;CMP DE RÉHAB PSYCHIATRIE GÉNÉRALE;;;AV;DE MARBOZ;HÔPIATL SAINT-GEORGES;;01012;BOURG EN BRESSE CEDEX;01053;;
IDB;2013;010009942;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200108;CATTP UAE PSYCHIATRIE GÉNÉRALE;;;AV;DE MARBOZ;HÔPITAL SAINT-GEORGES;;01012;BOURG EN BRESSE CEDEX;01053;;
IDB;2013;010009959;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200108;CATTP ERASME PSYCHIATRIE GÉNÉRALE;;;AV;DE MARBOZ;HÔPITAL SAINT-GEORGES;;01012;BOURG EN BRESSE CEDEX;01053;;
IDB;2013;010009967;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200470;C.M.P. PSYCHIATRIE INFANTO-JUVÉNILE;;330;AV;CHARLES DE GAULLE;;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2013;010009975;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456201338;C.M.P. PRÉ-ADOS PSYCHIATRIE INFANTO-JU;;6;BD;EDOUARD HERRIOT;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010009983;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456201338;C.A.T.T.P. ESCAL'ADO PSYCHIATRIE INFAN;;6;BD;EDOUARD HERRIOT;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010009991;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456201197;C.A.T.T.P. PSYCHIATRIE INFANTO-JUVÉNIL;;60;R;ARISTIDE BRIAND;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2013;010010007;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456201411;C.A.T.T.P. PSYCHIATRIE ADULTES;;;PL;DE LA RÉSISTANCE;1ER ÉTAGE;;01340;MONTREVEL EN BRESSE;01266;;
IDB;2013;010780054;02;;82;01;;13;;355;;1;0;;2;1;;CH DE BOURG EN BRESSE FLEYRIAT;;;;DE PARIS;;BP 401 - VIRIAT;01012;BOURG EN BRESSE CEDEX;01053;0474454647;
IDB;2013;010780062;02;;82;01;;13;;355;;1;0;;1;1;;CH DOCTEUR RECAMIER BELLEY;;;;GEORGES GIRERD;;BP 139;01300;BELLEY;01034;0479425959;
IDB;2013;010780096;02;;82;01;;13;;355;;1;0;;1;1;;CH DE MONTPENSIER TRÉVOUX;;;;DE L'HÔPITAL;;BP 615;01606;TREVOUX CEDEX;01427;0474009898;
IDB;2013;010780112;02;;82;01;;13;;106;;1;0;;1;1;;CENTRE HOSPITALIER DU PAYS DE GEX;;;;MARC PANISSOD;;BP 437;01174;GEX CEDEX;01173;0450403838;
IDB;2013;010780120;02;;82;01;;13;;106;;1;0;;1;1;;CH DE MEXIMIEUX;;;;DOCTEUR BOYER;;;01800;MEXIMIEUX;01244;0474610177;
IDB;2013;010780138;02;;82;01;;13;;106;;1;0;;1;1;;CH DE PONT DE VAUX;;;;DES NIVRES;;BP 55;01190;PONT DE VAUX;01305;0385308000;
IDB;2013;010780740;35;010783009;82;01;82S0000003;61;3;430;PLU10;6;1;;0;0;77554456200066;POST-CURE HELIOS HAUTEVILLE-LOMPNES;;;PL;DE L'ORCET;;;01110;HAUTEVILLE LOMPNES;01185;;
IDB;2013;010786705;35;010783009;82;01;82S0000001;61;3;156;PLU10;6;1;;0;0;77554456200744;CMP ENFANTS MONTLUEL;;138;R;DU TORRENT;;;01120;MONTLUEL;01262;;
IDB;2013;010786713;35;010783009;82;01;82S0000002;61;3;156;PLU10;6;1;;0;0;77554456200710;CMP ADULTES BELLEY;;;;ILOT BAUDIN;DANS LE CENTRE MEDICO-SOCIAL;;01300;BELLEY;01034;;
IDB;2013;010786721;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200694;CMP ENFANTS AMBERIEU-EN-BUGEY;;74;R;DE LA REPUBLIQUE;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2013;010786754;35;010783009;82;01;82S0000002;61;3;156;PLU10;6;1;;0;0;77554456200702;CMP ADULTES BELLEGARDE-SUR VALSERINE;;6;R;JEAN MALLET;;;01200;BELLEGARDE SUR VALSERINE;01033;;
IDB;2013;010787869;35;010783009;82;01;82S0000002;61;3;156;PLU10;6;1;;0;0;77554456200314;CMP ENFANTS BELLEGARDE-SUR-VALSERINE;;11;R;DE LA REPUBLIQUE;;;01200;BELLEGARDE SUR VALSERINE;01033;;
IDB;2013;010787885;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200942;CMP ADULTES BOURG-EN-BRESSE;;6   B;R;G VICAIRE;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010787893;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200348;CMP ADULTES VIRIAT;;;;;DANS LE C.H.G. FLEYRIAT;;01440;VIRIAT;01451;;
IDB;2013;010787927;35;010783009;82;01;82S0000002;61;3;156;PLU10;6;1;;0;0;77554456201080;CMP ADULTES FERNEY-VOLTAIRE;;13;CHE;DU LEVANT;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2013;010787968;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200397;CMP ENFANTS TREVOUX;;;ALL;DE L'ESME;;;01600;TREVOUX;01427;;
IDB;2013;010788248;35;010783009;82;01;82S0000002;61;3;156;PLU10;6;1;;0;0;77554456200405;CMP ENFANTS BELLEY;;;;;ILOT BAUDIN;;01300;BELLEY;01034;;
IDB;2013;010788347;35;010783009;82;01;82S0000002;61;3;425;PLU10;6;1;;0;0;77554456200389;CATTP ENFANTS VERSONNEX;LE SESAME;11;R;DE GENEVE;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2013;010788677;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200421;CMP ADULTES OYONNAX;;15;R;J. BAPTISTE CLEMENT;;;01100;OYONNAX;01283;;
IDB;2013;010788792;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200728;CMP ADULTES MONTREVEL-EN-BRESSE;;;PL;DE LA RESISTANCE;;;01340;MONTREVEL EN BRESSE;01266;;
IDB;2013;010789311;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200454;CATTP ADULTES L'ENTR'ACTES;;33;R;DES MARGUERITES;;;01000;BOURG EN BRESSE;01053;;
IDB;2013;010789451;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200462;CATTP ADULTES OYONNAX;;15;R;J. B. CLEMENT;;;01100;OYONNAX;01283;;
IDB;2013;010789634;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200470;CATTP ADULTES CHATILLON-SUR-CHALARONNE;;289;AV;DUBANCHET;;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2013;010789642;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200488;CMP ADULTES CHATILLON-SUR-CHALARONNE;;89;AV;DUBANCHET;;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2013;010789675;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456201049;CMP ADULTES AMBERIEU-EN-BUGEY;;31;R;DES PLATTES;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2013;010789691;35;010783009;82;01;82S0000001;61;3;156;PLU10;6;1;;0;0;77554456201056;CMP ADULTES MONTLUEL;ESPACE COTIERE;284;R;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2013;010789709;35;010783009;82;01;82S0000001;61;3;425;PLU10;6;1;;0;0;77554456200793;CATTP ADULTES MONTLUEL;ESPACE COTIERE;284;R;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2013;010789725;35;010783009;82;01;82S0000003;61;3;156;PLU10;6;1;;0;0;77554456200520;CMP ENFANTS OYONNAX;SAVARIN;;R;CLEMENCEAU;;;01100;OYONNAX;01283;;
IDB;2013;010789733;35;010783009;82;01;82S0000003;61;3;425;PLU10;6;1;;0;0;77554456200538;CATTP ENFANTS OYONNAX;;;R;CLEMENCEAU;;;01100;OYONNAX;01283;;
IDB;2013;020000022;02;;22;02;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE GUISE;;;;DES DOCTEURS DEVILLERS;;;02120;GUISE;02361;0323515555;
IDB;2013;020000048;02;;22;02;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER GERONTOLOGIQUE;;;;DUPUIS;;;02800;LA FERE;02304;0323566700;
IDB;2013;020000055;02;;22;02;;13;;355;;1;0;;1;1;;CH NOUVION EN THIERACHE;;;;ANDRE RIDDERS;;BP 16;02170;LE NOUVION EN THIERACHE;02558;0323975656;
IDB;2013;020000063;02;;22;02;;13;;355;;1;0;;2;1;;CENTRE HOSPITALIER DE SAINT QUENTIN;;;;MICHEL DE L'HOSPITAL;;BP 608;02321;ST QUENTIN CEDEX;02691;0323067171;
IDB;2013;020000071;02;;22;02;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE VERVINS;;;;DE LA LIBERTE;;;02140;VERVINS;02789;0323916060;
IDB;2013;020000154;24;020000295;22;02;22S0000002;11;1;292;PLU10;1;0;;0;0;26020034000180;HJ EPSMD02 SAINT-QUENTIN;ENFANTS ET ADOLESCENTS;222;R;DU DOCTEUR CORDIER;;;02100;ST QUENTIN;02691;;
IDB;2013;020000253;02;;22;02;;13;;355;;1;0;;2;1;;CH DE LAON;;;;MARCELIN BERTHELOT;;;02001;LAON CEDEX;02408;0323243333;
IDB;2013;020000261;02;;22;02;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE SOISSONS;;;;DU GENERAL DE GAULLE;;;02209;SOISSONS CEDEX;02722;0323757070;
IDB;2013;020000287;02;;22;02;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE CHAUNY;;;;DES ANCIENS COMBATTANTS;;;02303;CHAUNY CEDEX;02173;0323385500;
IDB;2013;020000295;02;;22;02;;11;;292;;1;0;;1;1;;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;;;;;;;02320;PREMONTRE;02619;0323236666;
IDB;2013;020002051;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000024;FOYER THÉRAPEUTIQUE EPSM AISNE;;28;AV;DE COMPIÈGNE;;;02200;SOISSONS;02722;;
IDB;2013;020002085;02;;22;02;;13;;106;;1;0;;1;1;;MAISON DE SANTÉ DE BOHAIN;LE CHAMP DE LA ROSE;;;OLIVIER DEGUISE;;;02110;BOHAIN EN VERMANDOIS;02095;0323075300;
IDB;2013;020002739;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000479;LITS DE PROXIMITÉ EPSMD AISNE;SECTEUR D;26;R;D'OULCHY LE CHÂTEAU;;;02200;BELLEU;02064;;
IDB;2013;020002788;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000487;CENTRE PSYCHOTHÉRAPIQUE  EPSMD AISNE;;1;R;VICTOR ET LOUISE MONTFORT;;;02310;VILLIERS ST DENIS;02818;;
IDB;2013;020003620;02;;22;02;;12;;355;;1;0;;1;1;;CRF JACQUES FICHEUX;;;;DE SAINT NICOLAS;;;02410;ST GOBAIN;02680;0323387800;
IDB;2013;020003893;24;020000295;22;02;22S0000003;11;1;425;PLU10;1;0;;0;0;26020034000081;CATTP EPSMD BELLEU;DAUMÉZON;22;R;D'OULCHY LE CHÂTEAU;;;02200;BELLEU;02064;;
IDB;2013;020003919;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000172;HÔPITAL DE JOUR ENFANTS EPSMD AISNE;;1;AV;ERNEST COUVRECELLE;;;02400;ETAMPES SUR MARNE;02292;;
IDB;2013;020004404;02;;22;02;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;;;;DE VERDILLY;;BP 179;02405;CHATEAU THIERRY CEDEX;02168;0323696600;
IDB;2013;020004495;02;;22;02;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER D'HIRSON;CHARLES BRISSET;;;AUX LOUPS;BP 80;;02500;HIRSON;02381;0323588282;
IDB;2013;020004529;24;020000295;22;02;22S0000002;11;1;292;PLU10;1;0;;0;0;26020034000065;HJ EPSMD02 GUISE;;145;R;DE GUISE;;;02500;HIRSON;02381;;
IDB;2013;020004990;24;020000295;22;02;22S0000002;11;1;292;PLU10;1;0;;0;0;26020034000149;CENTRE POUR ADOLESCENTS EPSMD AISNE;;3;CHE;DE LA JUSTICE;;;02300;CHAUNY;02173;;
IDB;2013;020005088;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000107;HJ EPSMD02 LAON;;33;R;DU 13 OCTOBRE 1918;;;02000;LAON;02408;;
IDB;2013;020006151;24;020000295;22;02;22S0000002;11;1;292;PLU10;1;0;;0;0;26020034000073;HJ EPSMD LA FÈRE;HÔPITAL DE JOUR ENFANTS;3;AV;DU GÉNÉRAL LECLERC;;;02800;LA FERE;02304;;
IDB;2013;020007183;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000164;CENTRE BORROMEE EPSM AISNE;;9;AV;GAMBETTA;;;02000;LAON;02408;;
IDB;2013;020008793;24;020000295;22;02;22S0000002;11;1;292;PLU10;1;0;;0;0;26020034000156;HJ EPSMD02 TERGNIER;HERMANN SIMON;6;R;HENRI BRISSON;;;02700;TERGNIER;02738;;
IDB;2013;020008868;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD HIRSON ENFANT;;128;R;CHARLES DE GAULLE;;;02500;HIRSON;02381;;
IDB;2013;020008876;24;020000295;22;02;22S0000003;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD SOISSONS ADULTE;;29;BD;JEANNE D'ARC;;;02200;SOISSONS;02722;;
IDB;2013;020008884;24;020000295;22;02;22S0000003;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD CHÂTEAU-THIERRY ENFANT;;76;GR;GRANDE RUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2013;020008892;24;020000295;22;02;22S0000003;11;1;156;PLU10;1;0;;0;0;26020034000404;CMP EPSMD LAON ADULTE;;22;R;SAINT MARTIN;;;02000;LAON;02408;;
IDB;2013;020008900;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD CHAUNY ENFANT;;18;AV;VICTOR HUGO;;;02300;CHAUNY;02173;;
IDB;2013;020008918;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD SAINT-QUENTIN LYON;;8;R;DE LYON;;;02100;ST QUENTIN;02691;;
IDB;2013;020008934;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD GUISE;;179;R;CHANTRAINE;;;02120;GUISE;02361;;
IDB;2013;020008942;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD BOHAIN-EN-VERMANDOIS;;14;R;LÉON ERST;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2013;020008967;24;020000295;22;02;22S0000003;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD SOISSONS ENFANT;;24;AV;DU GÉNÉRAL DE GAULLE;;;02200;SOISSONS;02722;;
IDB;2013;020008983;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD CHAUNY ADULTE;CENTRE JACQUES LACAN;94;R;DES ANCIENS COMBATTANTS AFN;;;02300;CHAUNY;02173;;
IDB;2013;020009494;24;020000295;22;02;22S0000002;11;1;292;PLU10;1;0;;0;0;26020034000198;CENTRE EPSMD02 CHAUNY;JACQUES LACAN;94;R;DES ANCIENS COMBATTANTS AFN;CENTRE HOSPITALIER DE CHAUNY;;02303;CHAUNY CEDEX;02173;;
IDB;2013;020012605;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000453;UNITE DE PROXIMITÉ CHARLES LASEGUE;EPSMD AISNE;3;R;DEVISME;;;02000;LAON;02408;;
IDB;2013;020012845;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000461;HJ EPSMD02 CROUY;;18;AV;DU GÉNÉRAL PATTON;;;02880;CROUY;02243;;
IDB;2013;020013264;24;020000295;22;02;22S0000003;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD LAON ENFANT;;10;PL;DU GÉNÉRAL LECLERC;;;02000;LAON;02408;;
IDB;2013;020014098;24;020000295;22;02;22S0000002;11;1;292;PLU10;1;0;;0;0;;CENTRE PSYCHOTHÉRAPIQUE EPSMDA HIRSON;;40;R;AUX LOUPS;;;02500;HIRSON;02381;;
IDB;2013;020014502;24;020000295;22;02;22S0000003;11;1;292;PLU10;1;0;;0;0;26020034000339;URCA EPSMD AISNE;LE CHALLENGE;;;FERME DU LIEU BUIN;;;02320;PREMONTRE;02619;;
IDB;2013;020014510;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000347;CMP EPSMD HIRSON ADULTE;;108;AV;DES CHAMPS ÉLYSÉES;;;02500;HIRSON;02381;;
IDB;2013;020014536;24;020000295;22;02;22S0000003;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD CHÂTEAU-THIERRY ADULTE;;36;AV;DE LA RÉPUBLIQUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2013;020014544;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000016;CMP EPSMD TERGNIER;;12;R;DE LA LIBÉRATION;;;02700;TERGNIER;02738;;
IDB;2013;020014627;24;020000063;22;02;22S0000002;13;1;425;PLU10;1;0;;0;0;26020861600151;CATTP CH SAINT-QUENTIN VOLTAIRE;;86;R;VOLTAIRE;;;02100;ST QUENTIN;02691;;
IDB;2013;020014635;24;020000063;22;02;22S0000002;13;1;425;PLU10;1;0;;0;0;26020861600169;CATTP CH SAINT-QUENTIN GUISE;;38;R;DU JEU DE PAUME;VILLA DU JEU DE PAUME;;02120;GUISE;02361;;
IDB;2013;020014643;24;020000063;22;02;22S0000002;13;1;156;PLU10;1;0;;0;0;26020861600177;CMP CH SAINT-QUENTIN;;5;R;ARNAUD BISSON;;;02100;ST QUENTIN;02691;;
IDB;2013;020014676;24;020000063;22;02;22S0000002;13;1;156;PLU10;1;0;;0;0;26020861600193;CMP CH SAINT-QUENTIN BOHAIN-EN-VER;MAISON DE CURE ET SANTÉ MÉDICALE;;CHE;DES DAMES;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2013;020015061;24;020000295;22;02;22S0000003;11;1;425;PLU10;1;0;;0;0;26020034000354;CATTP EPSMD CHÂTEAU-THIERRY;;36;AV;DE LA RÉPUBLIQUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2013;020015079;24;020000063;22;02;22S0000002;13;1;425;PLU10;1;0;;0;0;26020861600177;CATTP CH SAINT-QUENTIN BISSON;;5;R;ARNAUD BISSON;;;02100;ST QUENTIN;02691;;
IDB;2013;020015194;24;020000063;22;02;22S0000002;13;1;425;PLU10;1;0;;0;0;26020861600193;CATTP CH SAINT-QUENTIN BOHAIN-EN-VER;MAISON DE CURE ET SANTÉ MÉDICALE;;CHE;DES DAMES;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2013;020015319;24;020000295;22;02;22S0000002;11;1;156;PLU10;1;0;;0;0;26020034000180;CMP EPSMD SAINT-QUENTIN CORDIER;;222;R;DU DOCTEUR CORDIER;;;02100;ST QUENTIN;02691;;
IDB;2013;030002158;02;;83;03;;11;;355;;1;0;;1;1;;CH DPT COEUR DU BOURBONNAIS;;;;;;LES COMBES;03240;TRONGET;03292;0470476060;
IDB;2013;030005821;08;;83;03;;88;;699;;0;5;;1;1;;SCP - CENTRE DE RADIOTHERAPIE -;JOSEPH BELOT;;;AMBROISE CROIZAT;;;03630;DESERTINES;03098;0470083500;
IDB;2013;030180020;02;;83;03;;13;;355;;1;5;;1;1;;CH DE NERIS LES BAINS;;;;VOLTAIRE;;;03310;NERIS LES BAINS;03195;0470085300;
IDB;2013;030780092;02;;83;03;;13;;355;;1;1;;2;1;;CENTRE HOSPITALIER MOULINS YZEURE;;;;GAL DE GAULLE;;BP. 609;03006;MOULINS CEDEX;03190;0470357777;
IDB;2013;030780100;02;;83;03;;13;;355;;1;5;;1;1;;CENTRE HOSPITALIER DE MONTLUCON;;;;DU 8 MAI 1945;;;03109;MONTLUCON CEDEX;03185;0470023030;
IDB;2013;030780118;02;;83;03;;13;;355;;1;5;;2;1;;CENTRE HOSPITALIER DE VICHY;;;;DENIERE;;B.P 2757;03201;VICHY CEDEX;03310;0470973333;
IDB;2013;030780126;02;;83;03;;13;;355;;1;5;;1;1;;CH DE BOURBON L'ARCHAMBAULT;;;;DE LA REPUBLIQUE;;;03160;BOURBON L ARCHAMBAULT;03036;0470673200;
IDB;2013;030780282;02;;83;03;;12;;292;;1;5;;1;1;;CENTRE HOSPITALIER SPECIALISE;;;;DU PAVE;;;03360;AINAY LE CHATEAU;03003;0470022626;
IDB;2013;030780589;24;030780092;83;03;83S0000001;13;1;355;PLU10;1;5;;0;0;26030383900054;CENTRE HOSPITALIER SPECIALISE YZEURE;;;RTE;DE GENNETINES;;BP 23;03401;YZEURE CEDEX;03321;;
