BOR;AN;FI;RS;RSCOM;FI_EJ;GRP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;NAT;SIR;REG;DEP;TSANT;COM;NOMCOM;ARM;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3
ID;2013;010780252;CRF L'ORCET - HAUTEVILLE;;010783009;09;61;3;109;PNL10;6;1;1;0;77554456200017;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;;R;du Dr Delannoy;;01110;HAUTEVILLE LOMPNES;;1;775544562;association ORSAC;;;;;;;;;;;;;;;775544562;77554456200017;;;0;0;;;;;;;;;
ID;2013;010780278;CTRE DE RÉÉDUCATION MANGINI;;010783009;09;61;3;109;PNL10;6;1;1;0;77554456200017;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;1436;AV;FELIX MANGINI;;01110;HAUTEVILLE LOMPNES;;1;775544562;association ORSAC;;;;;;;;;;;;;;;775544562;77554456200017;;;0;0;;;;;;;;;
ID;2013;010780294;CENTRE DIALYSE CRAT - CH BELLEY;;690000278;07;75;2;141;PLU5;0;4;5;0;30096471500043;82;01;82S0000002;01034;BELLEY;;0;;6;690000278;1;1;54;R;GEORGES GIRERD;;01300;BELLEY;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010780310;CTRE DE PNEUMOLOGIE CLAIR SOLEIL;SA LE PONTET;010000222;09;73;2;109;PLU10;0;4;5;0;54612012200017;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;135;R;DES VILLAS;;01110;HAUTEVILLE LOMPNES;;0;;;;;;;;;;;;;;;;;546120122;54612012200017;;;0;0;;;;;;;;;
ID;2013;010780328;CENTRE MEDICAL LE MODERN;SA LE PONTET;010000222;09;73;2;109;PLU10;0;4;5;0;54612012200025;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;311;R;DE LA CHAPELLE;;01110;HAUTEVILLE LOMPNES;;0;;;;;;;;;;;;;;;;;546120122;54612012200025;;;0;0;;;;;;;;;
ID;2013;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;;750005068;09;47;3;109;PNL10;6;1;1;0;44192191300204;82;01;82S0000002;01082;CHANAY;;0;;6;;1;1;7;R;du CHATEAU;;01420;CHANAY;MGEN ACTION SANITAIRE ET SOCIA;1;441921913;MGEN Action sanitaire et sociale;;;;;;;;;;;;;;;441921913;44192191300204;;;0;0;;;;;;;;;
ID;2013;010780492;CRF ROMANS-FERRARI - MIRIBEL;;360000707;09;61;3;109;PNL10;6;1;1;0;77936703600059;82;01;82S0000001;01249;MIRIBEL;;;;6;;1;1;;R;DE LA CHANAL;DOMAINE LA CHANAL;01700;MIRIBEL;BP 10118;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010780708;CLINIQUE SSR KORIAN GLETEINS;;310021381;09;75;2;109;PLU10;0;4;5;0;76620020800011;82;01;82S0000003;01194;JASSANS-RIOTTIER;;0;;6;;1;1;315;R;EDOUARD HERRIOT;;01480;JASSANS RIOTTIER;CHATEAU DE GLETEINS;1;447800475;;;;;;;;;;;;;;;;766200208;76620020800011;;;0;0;;;;;;;;;
ID;2013;010780799;CRF CHATEAU D'ANGEVILLE - HAUTEVILLE;;750721334;09;61;3;109;PNL10;6;1;0;0;77567227205586;82;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;;1;1;;AV;du 11 NOVEMBRE 1918;;01110;HAUTEVILLE LOMPNES;CHATEAU D'ANGEVILLE;1;775672272;CROIX-ROUGE FRANCAISE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;010786259;USLD CH NANTUA;;010008407;04;14;1;362;PUB9;1;0;;0;26011021800062;82;01;82S0000003;01269;NANTUA;;0;;6;010008407;1;2;50;R;PAUL PAINLEVE;BP 119;01130;NANTUA;;;;;;;;;;;;;;;;;;;;26011021800047;;;;0;;;;;;;;;
ID;2013;010789006;CENTRE DE DIALYSE FDTSFV DE VIRIAT;;670005834;07;63;3;146;PNL5;6;4;1;0;35198270700306;82;01;82S0000003;01451;VIRIAT;;0;;6;670005834;1;1;6;R;GAY LUSSAC;;01440;VIRIAT;PARC LA CHAMBIÈRE;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;010789717;USLD CH OYONNAX;;010008407;04;14;1;362;PUB9;1;0;;0;26011021800039;82;01;82S0000003;01283;OYONNAX;;0;;6;010008407;1;2;1;R;BELLEVUE;;01108;OYONNAX CEDEX;;;;;;;;;;;;;;;;;;;;26011021800112;;;;0;;;;;;;;;
ID;2013;020000089;CH GUISE;;020000022;04;13;1;355;PUB2;1;0;;0;26020865700015;22;02;22S0000002;02361;GUISE;;0;;7;020000022;1;1;858;R;DES DOCTEURS DEVILLERS;;02120;GUISE;;;;;;;;;;;;;;;;;;;260208657;26020865700015;;;;0;;;;;;;;;
ID;2013;020000097;CH LA FÈRE;CENTRE GÉRONTOLOGIQUE;020000048;04;13;1;355;PUB2;1;0;;0;26020866500018;22;02;22S0000002;02304;LA FERE;;0;;5;020000048;1;1;2;AV;DUPUIS;;02800;LA FERE;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;020000105;CH LE NOUVION-EN-THIÉRACHE;;020000055;04;13;1;355;PUB2;1;0;;0;26020009200013;22;02;22S0000002;02558;LE NOUVION-EN-THIERACHE;;0;;7;020000055;1;1;40;Rue;ANDRÉ RIDDERS;BP 16;02170;LE NOUVION EN THIERACHE;;;;;;;;;;;;;;;;;;;;26020009200013;;;0;0;;;;;;;;;
ID;2013;020000162;CENTRE HOSPITALIER DE SAINT-QUENTIN;;020000063;04;13;1;355;PUB2;1;0;;0;26020861600011;22;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;020000063;2;1;1;AV;MICHEL DE L'HOSPITAL;BP 608;02321;ST QUENTIN CEDEX;;;;;020015665;GCS Sterhospic;;;;;;;;;;;;;260208616;26020861600011;;;0;0;;;;;;;;;
ID;2013;020000246;CH VERVINS;;020000071;04;13;1;355;PUB2;1;0;;0;26020010000014;22;02;22S0000002;02789;VERVINS;;0;;7;020000071;1;1;;PL;DE LA LIBERTÉ;;02140;VERVINS;;;;;;;;;;;;;;;;;;;260200100;26020010000014;;;0;0;;;;;;;;;
ID;2013;020000303;LA RENAISSANCE SANITAIRE;Hôpital Villiers Saint Denis;750814030;09;63;3;365;PNL4;6;1;1;0;77566179600034;22;02;22S0000003;02818;VILLIERS-SAINT-DENIS;;0;;7;;2;1;1;R;VICTOR ET LOUISE MONFORT;BP 1;02310;VILLIERS ST DENIS;;0;;;;;;;;;;;;;;;;;775661796;77566179600034;;;0;0;;;;;;;;;
ID;2013;020000311;CLINIQUE SAINT MARTIN COURLANCY;;020000550;09;73;2;128;PLU4;0;4;5;0;43991616400023;22;02;22S0000003;02168;CHATEAU-THIERRY;;0;;6;;2;1;30;R;SAINT MARTIN;;02400;CHATEAU THIERRY;;1;337180160;SA Polyclinique de Courlancy;;;;;;;;;;;;;;;439916164;43991616400023;;;0;0;;;;;;;;;
ID;2013;020000360;CLINIQUE SAINT CHRISTOPHE COURLANCY;;020014742;09;72;2;128;PLU4;0;4;5;0;43991616400015;22;02;22S0000003;02722;SOISSONS;;0;;6;;2;1;30;R;DE LA VICTOIRE;;02200;SOISSONS;;1;337180160;SA Polyclinique de Courlancy;;SCM des Drs Loire, Salvat, Girault et Alfassa;;;;;;;;;;;;;439916164;;;;0;0;;;;;;;;;
ID;2013;020000386;S.A.S. CLINIQUE LA ROSERAIE;;020000600;15;75;2;161;PLU7;0;4;5;0;71728025900010;22;02;22S0000003;02722;SOISSONS;;0;;6;;1;1;6;;OLIVIER MESSIAEN;;02200;SOISSONS;;1;484349360;RAMSAY SANTE;;;;;;;;;;;;;;;717280259;71728025900028;;;0;0;;;;;;;;;
ID;2013;020000394;CENTRE HOSPITALIER DE LAON;;020000253;04;13;1;355;PUB2;1;0;;0;26020871500011;22;02;22S0000003;02408;LAON;;0;;7;020000253;2;2;33;R;MARCELIN BERTHELOT;CS 40640;02001;LAON CEDEX;;;;;;;;;;;;;;;;;;;260208715;26020871500011;;;0;1;;1;;020004362;020000394;;;;
ID;2013;020000519;CH SOISSONS;;020000261;04;13;1;355;PUB2;1;0;;0;26020862400015;22;02;22S0000003;02722;SOISSONS;;0;;7;020000261;1;1;46;AV;DU GÉNÉRAL DE GAULLE;;02209;SOISSONS CEDEX;;;;;;;;;;;;;;;;;;;;26020862400015;;;0;0;;;;;;;;;
ID;2013;020000535;CH CHAUNY;;020000287;04;13;1;355;PUB2;1;0;;0;26020864000011;22;02;22S0000002;02173;CHAUNY;;0;;7;020000287;1;1;94;R;DES ANCIENS COMBATTANTS AFN TOM;;02303;CHAUNY CEDEX;;;;;020000535;CENTRE HOSPITALIER DE CHAUNY;020000196;CLINIQUE DU CEDRE;;;;;;;;;;;260208640;;;;0;0;;;;;;;;;
ID;2013;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;;020000295;14;11;1;292;PUB3;1;0;;0;26020034000016;22;02;22S0000003;02619;PREMONTRE;;0;;7;020000295;1;1;;;;;02320;PREMONTRE;;;;;;;;;;;;;;;;;;;020000295;;;;0;0;;;;;;;;;
ID;2013;020000683;MAISON DE SANTE DE BOHAIN;LE CHAMP DE LA ROSE;020002085;04;13;1;106;PUB2;1;0;;0;26020867300012;22;02;22S0000002;02095;BOHAIN-EN-VERMANDOIS;;0;;7;020002085;1;1;57;R;OLIVIER DEGUISE;;02110;BOHAIN EN VERMANDOIS;;;;;;;;;;;;;;;;;;;;26020867300012;;;0;0;;;;;;;;;
ID;2013;020000915;CRF JACQUES FICHEUX SAINT-GOBAIN;;020003620;04;12;1;355;PUB2;1;0;;0;26020035700010;22;02;22S0000002;02680;SAINT-GOBAIN;;0;;7;020003620;1;1;;RTE;DE SAINT NICOLAS;;02410;ST GOBAIN;;;;;;;;;;;;;;;;;;;260200357;;;;;0;;;;;;;;;
ID;2013;020001061;CENTRE HOSPITALIER JEANNE DE NAVARRE;;020004404;04;13;1;355;PUB2;1;0;;0;26020863200018;22;02;22S0000003;02168;CHATEAU-THIERRY;;0;;7;020004404;1;1;;RTE;DE VERDILLY;BP 10179;02405;CHATEAU THIERRY;;;;;;;;;;;;;;;;;;;;26020863200018;;;0;0;;;;;;;;;
ID;2013;020001087;CH HIRSON;BRISSET;020004495;04;13;1;355;PUB2;1;0;;0;26020007600016;22;02;22S0000002;02381;HIRSON;;0;;7;020004495;1;2;40;R;AUX LOUPS;;02500;HIRSON;;;;;;;;;;;;;;;;;;;;26020007600016;;;0;0;;;;;;;;;
ID;2013;020001772;CENTRE D AUTODIALYSE CHAUNY;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100286;22;02;22S0000002;02173;CHAUNY;;0;;7;590799995;1;1;45;R;Pasteur;;02100;CHAUNY;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;020001913;CENTRE D AUTODIALYSE LAON;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100401;22;02;22S0000003;02408;LAON;;0;;7;590799995;1;1;820;AV;GEORGES POMPIDOU;Z.A.C. ILE DE FRANCE;02000;LAON;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;020003877;CENTRE DE MOYEN SEJOUR CH LAON;;020000253;04;13;1;355;PUB2;1;0;;0;26020871500078;22;02;22S0000003;02408;LAON;;0;;7;020000253;2;2;;;rue Marguerite Clerbout;SEMILLY-SOUS-LAON;02000;LAON;;;;;;;;;;;;;;;;;;;260208715;26020871500011;;;0;0;;;;;;;;;
ID;2013;020004156;CLINIQUE SAINTE MONIQUE SAINTE MARIE;;590805065;15;60;3;161;PNL7;7;4;0;0;39434217400288;22;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;;1;1;4;R;PAUL DOUMER;;02100;ST QUENTIN;;1;394342174;TEMPS DE VIE (DEVELOPPEMENT DES EQUIPTS);;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;020004297;SERVICE HAD ASSOCIATION MEDICO-SOCIALE ANNE MORGAN;;020005179;09;61;3;127;PNL10;6;4;0;0;77554727600086;22;02;22S0000003;02722;SOISSONS;;0;;7;;1;1;31;R;ANNE MORGAN;BP 111;02203;SOISSONS CEDEX;;0;;;;;;;;;;;;;;;;;;77554727600292;77554727600086;;0;0;;;;;;;;;
ID;2013;020004677;USLD CH SOISSONS;L'ÉCLAIRCIE;020000261;04;13;1;362;PUB9;1;0;;0;26020862400031;22;02;22S0000003;02064;BELLEU;;0;;7;020000261;1;1;;R;D'OULCHY LE CHÂTEAU;;02200;BELLEU;;;;;;;;;;;;;;;;;;;;26020862400015;;;0;0;;;;;;;;;
ID;2013;020005476;USLD CH LAON;LES TUILERIES;020000253;04;13;1;362;PUB9;1;0;;0;26020871500102;22;02;22S0000003;02408;LAON;;0;;7;020000253;2;2;38;R;MARGUERITE CLERBOUT;;02000;LAON;;;;;;;;;;;;;;;;;;;260208715;;;;;0;;;;;;;;;
ID;2013;020006441;CENTRE D AUTODIALYSE COURMELLES;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100203;22;02;22S0000003;02226;COURMELLES;;0;;7;590799995;1;1;58;;St Georges;;02200;COURMELLES;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;;020000063;14;13;1;355;PUB2;1;0;;0;26020861600094;22;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;020000063;2;1;241;R;DE FAYET;;02321;ST QUENTIN CEDEX;;;;;;;;;;;;;;;;;;;260208616;26020861600094;;;0;0;;;;;;;;;
ID;2013;020010047;POLICLINIQUE ST CLAUDE;;020001632;09;73;2;365;PLU4;0;4;5;0;32345727500010;22;02;22S0000002;02691;SAINT-QUENTIN;;0;;6;;2;1;1;BD;SCHWEITZER;BP 448;02109;ST QUENTIN CEDEX;;1;;GIE VITALIA;;SCM IMAGERIE CZ;020003208;GIE Imagerie Médicale du Vermandois;020015087;NOVABIO Diagnostic;;;;;;;;;323457275;;;;0;0;;;;;;;;;
ID;2013;020010310;ASSOCIATION AURORE;CENTRE DE SOINS APTE;750719361;09;61;3;109;PNL10;7;1;1;0;77568497000723;22;02;22S0000003;02131;BUCY-LE-LONG;;0;;7;;1;1;2;R;DU GENERAL DUTOUR;;02880;BUCY LE LONG;Château des Ruisseaux;1;775684970;ASSOCIATION AURORE;;;;;;;;;;;;;;;775684970;77568497000723;;;;0;;;;;;;;;
ID;2013;020010898;SERVICE D HOSPITALISATION A DOMICILE;Croix-Rouge Française;750721334;09;61;3;127;PNL10;7;4;3;0;77567227220908;22;02;22S0000002;02173;CHAUNY;;0;;7;;1;1;4   C;R;FERDINAND BUISSON;;02300;CHAUNY;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;020011698;SERVICE HOSPITALISATION A DOMICILE;;020006318;09;60;3;127;PNL10;7;4;0;0;78019864400046;22;02;22S0000003;02408;LAON;;;;7;;1;1;2;R;JEAN MONNET;;02000;LAON;;;;;;;;;;;;;;;;;;;780198644;78019864400046;;;0;0;;;;;;;;;
ID;2013;020012613;CENTRE D AUTODIALYSE BRASLES;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100104;22;02;22S0000003;02114;BRASLES;;0;;7;590799995;1;1;5;R;DES GARATS;;02400;BRASLES;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;020012860;CENTRE D AUTODIALYSE SAINT QUENTIN;;590799995;07;61;3;146;PNL5;6;4;0;0;77562471100104;22;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;590799995;1;1;263;R;FAYET;;02100;ST QUENTIN;Z.A.C. LE BOIS DE LA CHOCQUE;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;020014767;SERVICE HOSPITALISATION A DOMICILE;ASSOCIATION TEMPS DE VIE;590805065;09;60;3;127;PNL10;7;4;x;0;39434217400023;22;02;22S0000002;02691;SAINT-QUENTIN;;0;;7;;1;1;4;R;PAUL DOUMER;;02100;ST QUENTIN;;0;;;;;;;;;;;;;;;;;;39434217400023;;;0;0;;;;;;;;;
ID;2013;030000012;CH DE NERIS LES BAINS;;030180020;04;13;1;355;PUB2;1;0;;0;26030498500013;83;03;83S0000001;03195;NERIS-LES-BAINS;;0;;6;030180020;1;1;16;R;VOLTAIRE;;03310;NERIS LES BAINS;;;;;030785216;EHPAD LES HIRONDELLES;030784177;HEBERGEMENT TEMPORAIRE ET EHPAD PAVILLON CUVELIER;030785224;SERVICE DE SOINS A DOMICILE;;;;;;;;;;26030498500013;;;0;0;;;;;;;;;
ID;2013;030000061;CENTRE HOSPITALIER MOULINS YZEURE;;030780092;04;13;1;355;PUB2;1;0;;0;26030383900013;83;03;83S0000001;03190;MOULINS;;0;;6;030780092;2;1;10;AV;GAL DE GAULLE;BP 609;03006;MOULINS CEDEX;;;;;;;;;;;;;;;;;;;260303839;26030383900013;;;0;0;;;;;;;;;
ID;2013;030000079;CENTRE HOSPITALIER DE MONTLUCON;;030780100;04;13;1;355;PUB2;1;0;;0;26030017300010;83;03;83S0000001;03185;MONTLUCON;;0;;6;030780100;1;1;18;AV;DU 8 MAI 1945;;03109;MONTLUCON CEDEX;;;;;;;;;;;;;;;;;;;260300173;26030017300010;;;0;0;;;;;;;;;
ID;2013;030000087;CH JACQUES LACARIN VICHY;;030780118;04;13;1;355;PUB2;1;0;;0;26030026400017;83;03;83S0000001;03310;VICHY;;0;;6;030780118;2;1;;BD;DENIERE;BP 2757;03201;VICHY CEDEX;;;;;;;;;;;;;;;;;;;260300264;26030026400017;;;0;0;;;;;;;;;
ID;2013;030000095;CH BOURBON L'ARCHAMBAULT;;030780126;04;13;1;355;PUB2;1;0;;0;26030001700019;83;03;83S0000001;03036;BOURBON-L'ARCHAMBAULT;;0;;6;030780126;1;1;27;R;DE LA REPUBLIQUE;;03160;BOURBON L ARCHAMBAULT;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;;030780282;04;12;1;292;PUB3;1;0;;0;26030493600016;83;03;83S0000001;03003;AINAY-LE-CHATEAU;;0;;6;030780282;1;1;6   B;R;DU PAVE;;03360;AINAY LE CHATEAU;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
